AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
76,32,Amol Parmer,29,M,A4
77,33,Maanas Batta,43,M,A1
78,33,Sara Saha,24,F,A2
79,33,Avi Arya,29,M,A3
80,34,Gunbir Menon,24,M,A1
81,35,Liam Lalla,20,M,A1
82,35,Faris Kumer,31,M,A2
83,35,Noah Shukla,20,M,A3
84,35,Anmol Dube,22,M,A4
85,36,Nathan Vora,27,M,A1
86,36,Hiral Verma,21,F,A2
87,36,Zayyan Dutta,36,M,A3
88,36,Tamanna Chanda,24,F,A4
89,37,Aarna Contractor,42,F,A1
90,37,Udant Khosla,45,M,A2
91,37,Anusha Nagi,28,F,A3
92,37,Dakshesh Raju,37,M,A4
93,38,Yagnesh Bassi,34,M,A1
94,38,Inaya Nagi,36,F,A2
95,38,Chasmum Ganesh,25,F,A3
96,38,Dakshesh Raju,37,M,A4
97,39,Balendra Dube,31,M,A1
98,39,Victor Narula,44,M,A2
99,39,Caleb Borah,20,M,A3
100,39,Gaurav Krishnamurthy,43,M,A4
101,40,Aarini Bhatnagar,38,F,A1
102,40,Balhaar Parmar,25,M,A2
103,41,Caleb Borah,19,M,A1
104,41,Theodore Raj,22,M,A2
105,41,Chatresh Bath,32,M,A3
106,42,Ekbal Misra,33,M,A1
107,42,Abdul Dhaliwal,31,M,A2
108,43,Faris Gour,36,M,A1
109,44,Vihaan Bora,43,M,A1
110,45,Jacob Chaudhry,43,M,A1
111,45,Bakhshi Hari,33,M,A2
112,46,Qabil Mutti,29,M,A1
113,46,Frado Agrawal,39,M,A2
114,46,Jatin Kant,24,M,A3
115,46,Lakshit Parsa,36,M,A4
116,47,Michael Sur,43,M,A1
117,48,Karan Bose,23,M,A1
118,49,Falan Pau,34,M,A1
119,49,Jasmit Mannan,36,F,A2
120,49,Vincent Thaker,46,M,A3
121,49,Rushil Patla,42,M,A4
122,50,Imaran Sura,28,M,A1
123,50,Azad Lalla,22,M,A2
124,51,Rishi Singh,23,M,A1
125,51,Arin Baral,32,M,A2
126,52,Raghav Radhakrishnan,36,M,A1
127,53,Orinder Sur,45,M,A1
128,53,Aarush Thaker,27,M,A2
129,53,Urvi Gandhi,32,F,A3
130,53,Balvan Varkey,38,M,A4
131,54,Noah Comar,23,M,A1
132,55,Yashvi Baral,22,F,A1
133,55,Ayaan Ganesan,36,M,A2
134,55,Gautam Varughese,24,M,A3
135,55,Adya Mander,30,F,A4
136,56,Eshana Gopal,41,F,A1
137,56,Fiyaz Oommen,31,M,A2
138,56,Bakhshi Karpe,40,M,A3
139,57,Chanakya Goel,41,M,A1
140,57,Anirudh Wali,39,M,A2
141,58,Reva Bassi,21,F,A1
142,58,Jyoti Subramaniam,30,F,A2
143,58,Parth Chaudhari,43,M,A3
144,58,Ekalinga Kumar,29,M,A4
145,59,Girindra Ahluwalia,45,M,A1
146,60,Chatresh Dubey,20,M,A1
147,60,Jonathan Lal,18,M,A2
148,60,Qadim Majumdar,40,M,A3
149,61,Nikita Padmanabhan,41,F,A1
150,61,Ekapad Dani,28,M,A2
151,61,Vansha Edwin,19,F,A3
152,61,Hredhaan Trivedi,33,M,A4
153,62,Chandani Dhillon,30,F,A1
154,62,Teerth Chakrabarti,33,M,A2
155,62,Lekha Kapadia,31,F,A3
156,62,Chaaya Barad,23,F,A4
157,63,Yug Sarna,36,M,A1
158,63,Harrison Vasa,42,M,A2
159,63,Gunbir Bandi,25,M,A3
160,64,Farhan Chadha,24,M,A1
161,64,Ryan Pandit,30,M,A2
162,64,Samaksh Iyer,26,M,A3
163,65,Oscar Malhotra,28,M,A1
164,65,Ekapad Garde,26,M,A2
165,65,Gunbir Sha,43,M,A3
166,65,Aarnav Lal,34,M,A4
167,66,Onkar Dada,28,M,A1
168,67,Akshay Subramaniam,25,M,A1
169,67,Kai Bir,31,M,A2
170,67,Imaran Karpe,44,M,A3
171,67,Samuel Pandit,31,M,A4
172,68,Onveer Borra,43,M,A1
173,69,Gavin Gupta,19,M,A1
174,69,Harish Keer,44,M,A2
175,69,Kevin Jhaveri,43,M,A3
176,69,Harrison Krish,19,M,A4
177,70,Quincy Murty,25,M,A1
178,70,Laksh Swaminathan,43,M,A2
179,71,William Zachariah,22,M,A1
180,71,Zayan Palan,26,M,A2
181,72,Nakul Anand,26,M,A1
182,73,Karan Khalsa,30,M,A1
183,73,Warinder Oza,45,M,A2
184,74,Rishi Singh,22,M,A1
185,75,Daksha Madan,29,F,A1
186,75,Tarak Raj,27,M,A2
187,76,Nakul Sur,23,M,A1
188,76,Jeremiah Batta,33,M,A2
189,76,Chandran Gade,30,M,A3
190,76,Hritik Kumar,22,M,A4
191,77,Advaith Sabharwal,30,M,A1
192,77,Pushti Issac,30,F,A2
193,77,Lucky Pant,21,M,A3
194,78,Geetika Nazareth,33,F,A1
195,78,Samaksh Bora,28,M,A2
196,78,Faris Oza,41,M,A3
197,79,Umang Sachdev,39,M,A1
198,79,George Bajaj,34,M,A2
199,80,Rushil Chauhan,34,M,A1
200,81,Sneha Viswanathan,25,F,A1
201,81,Charles Lala,35,M,A2
202,82,Dominic Vyas,23,M,A1
203,82,Akshay Banerjee,41,M,A2
204,82,Omaja Soni,25,F,A3
205,82,Laban Saxena,22,M,A4
206,83,Prisha Subramaniam,33,F,A1
207,84,Kalpit Dugal,20,M,A1
208,84,Abdul Acharya,24,M,A2
209,85,Yatan Sood,28,M,A1
210,86,Rachit Gulati,43,M,A1
211,86,Tejas Rana,26,M,A2
212,86,Finn Ramakrishnan,22,M,A3
213,86,Imaran Lall,43,M,A4
214,87,Bakhshi Gopal,36,M,A1
215,87,Maanav Choudhry,30,M,A2
216,88,Naveen Bahl,33,M,A1
217,89,Lohit Luthra,22,M,A1
218,89,Theodore Anand,31,M,A2
219,90,Zaid Prabhu,37,M,A1
220,90,Amol Narayanan,24,M,A2
221,90,Elijah Bhalla,28,M,A3
222,90,Rohan Bora,35,M,A4
223,91,Darsh Kothari,19,M,A1
224,92,Warjas Ramachandran,20,M,A1
225,92,Neel Dutt,37,M,A2
226,93,Daksh Keer,19,M,A1
227,93,Nicholas Aurora,33,M,A2
228,93,Lakshit Dar,42,M,A3
229,94,Farhan Tata,26,M,A1
230,95,Jackson Nadig,26,M,A1
231,96,Ekalinga Krishna,26,M,A1
232,97,Ikshita Grover,25,F,A1
233,97,Neel Sidhu,26,M,A2
234,97,Faris Biswas,23,M,A3
235,97,Umang Merchant,41,M,A4
236,98,Sara Gupta,21,F,A1
237,98,Faraj Mandal,28,M,A2
238,98,Samarth Nagy,21,M,A3
239,98,Chasmum Virk,31,F,A4
240,99,Chandran Balay,21,M,A1
241,99,Yash Vora,31,M,A2
242,99,Aryan Peri,44,M,A3
243,99,Balendra Arya,29,M,A4
244,100,Kiaan Wadhwa,22,M,A1
245,100,Balendra Modi,23,M,A2
246,101,Reyansh Gupta,34,M,A1
247,102,Charles Ganesan,40,M,A1
248,102,Sai Thaman,39,M,A2
249,102,Dakshesh Raju,35,M,A3
250,102,Farhan Walla,39,M,A4
251,103,Joshua Parsa,41,M,A1
252,104,Adweta Vasa,22,F,A1
253,104,Matthew Ahuja,43,M,A2
254,105,Anirudh Sharma,45,M,A1
255,106,Chakradhar Ratta,40,M,A1
256,106,Imaran Karpe,44,M,A2
257,106,Balvan Nair,27,M,A3
258,106,Gabriel Sura,22,M,A4
259,107,Teerth Saha,33,M,A1
260,107,Ishaan Apte,37,M,A2
261,107,Avi Mody,45,M,A3
262,107,Nathaniel Zacharia,28,M,A4
263,108,Indrajit Sankaran,37,M,A1
264,108,Ronith Divan,45,M,A2
265,108,Om Butala,36,M,A3
266,108,Arya Rastogi,32,F,A4
267,109,Yagnesh Rana,23,M,A1
268,109,Jatin Kibe,24,M,A2
269,110,Owen Halder,30,M,A1
270,110,Pooja Bajwa,42,F,A2
271,111,Brijesh Chowdhury,19,M,A1
272,112,Warinder Bajaj,44,M,A1
273,112,Henry Yogi,44,M,A2
274,112,Harsh Virk,36,M,A3
275,113,Lucky Iyer,38,M,A1
276,113,Avi Shroff,37,M,A2
277,114,Upma Kothari,23,F,A1
278,115,Girik Issac,26,M,A1
279,115,Advay Baral,44,M,A2
280,115,Zilmil Mody,26,F,A3
281,116,Patrick Pant,21,M,A1
282,117,Rishi Balan,32,M,A1
283,118,Sathvik Khosla,31,M,A1
284,118,Tanay Muni,22,M,A2
285,118,Udarsh Deep,27,M,A3
286,118,Ekapad Jain,22,M,A4
287,119,Farhan Nadkarni,29,M,A1
288,119,Daniel Gour,32,M,A2
289,119,Eta Balan,23,F,A3
290,120,Dominic Goyal,38,M,A1
291,120,Kiaan Kashyap,34,M,A2
292,120,Jack Bal,26,M,A3
293,121,Yatan Som,28,M,A1
294,121,Finn Hans,46,M,A2
295,122,Bachittar Goel,25,M,A1
296,122,Yash Nair,43,M,A2
297,122,Jatin Sane,31,M,A3
298,123,Ansh Korpal,26,M,A1
299,123,Anmol Ram,29,M,A2
300,123,Girish Manne,36,M,A3
301,123,Rushil Modi,38,M,A4
302,124,Ekavir Sheth,26,M,A1
303,124,Chakradev Tella,38,M,A2
304,125,Utkarsh Jaggi,33,M,A1
305,125,Chakradev Krishna,27,M,A2
306,125,Finn Dasgupta,34,M,A3
307,126,Fariq Radhakrishnan,31,M,A1
308,126,Anthony Garde,43,M,A2
309,127,Tarak Subramanian,20,M,A1
310,127,Shaurya Morar,37,M,A2
311,128,Harrison Aggarwal,41,M,A1
312,128,Abeer Shanker,40,M,A2
313,128,Zaid Ahluwalia,34,M,A3
314,129,Aarush Konda,22,M,A1
315,130,Amol Misra,19,M,A1
316,130,Caleb Bawa,45,M,A2
317,130,Turvi Gokhale,19,F,A3
318,131,Tanay Bhattacharyya,26,M,A1
319,131,Warinder Desai,25,M,A2
320,131,Laksh Narayan,42,M,A3
321,131,Anmol Taneja,35,M,A4
322,132,Tanay Nadig,43,M,A1
323,132,Peter Dayal,25,M,A2
324,132,Yuvraj Tailor,27,M,A3
325,132,Jackson Mannan,39,M,A4
326,133,Arin Nath,22,M,A1
327,133,Hitesh Apte,26,M,A2
328,133,Lohit Kumar,42,M,A3
329,133,Mitesh Mital,29,M,A4
330,134,Noah Nigam,37,M,A1
331,134,Warjas Banik,21,M,A2
332,134,Warda Dugal,41,F,A3
333,135,Hemang Narula,28,M,A1
334,135,Bachittar Dixit,23,M,A2
335,136,Robert Grover,29,M,A1
336,136,Nikita Murty,21,F,A2
337,136,Laban Sachdev,43,M,A3
338,136,Yuvraj Khanna,45,M,A4
339,137,Gagan Choudhury,39,M,A1
340,137,Anirudh Jaggi,27,M,A2
341,138,Mohammed Narang,24,M,A1
342,138,Chandran Varty,22,M,A2
343,138,Harshil Bansal,41,M,A3
344,139,Anthony Chahal,21,M,A1
345,139,Ekapad Garde,25,M,A2
346,139,Vivaan Batra,25,M,A3
347,139,Nachiket Bajaj,30,M,A4
348,140,Lakshit Walia,45,M,A1
349,140,Thomas Dalal,22,M,A2
350,140,Falguni Dugar,33,F,A3
351,141,Krishna Dhaliwal,45,M,A1
352,141,Jason Garg,41,M,A2
353,141,Krishna Devan,28,M,A3
354,141,Nachiket Nigam,35,M,A4
355,142,Chatresh Rajagopal,36,M,A1
356,143,Pranav Muni,33,M,A1
357,144,Wahab Kata,23,M,A1
358,145,Noah Nair,34,M,A1
359,145,Yagnesh Balan,25,M,A2
360,145,Umang Sachdev,38,M,A3
361,146,Devansh Trivedi,46,M,A1
362,146,Samaksh Chhabra,30,M,A2
363,147,Bhavini Oak,45,F,A1
364,147,Tanveer Saran,35,M,A2
365,148,Vincent Nanda,33,M,A1
366,149,Yug Bhat,31,M,A1
367,149,Noah Nigam,36,M,A2
368,150,Robert Sekhon,46,M,A1
369,150,Harshil Nadig,28,M,A2
370,150,Max Saran,22,M,A3
371,150,Chaitanya Anand,36,M,A4
372,151,Lohit Balasubramanian,27,M,A1
373,151,Tarak Ramesh,42,M,A2
374,151,Rayaan Ravi,36,M,A3
375,151,Teerth Kakar,28,M,A4
376,152,Edhitha Desai,46,F,A1
377,153,Sarthak Shah,28,M,A1
378,153,Gautam Sha,24,M,A2
379,154,Jagat Thaker,21,M,A1
380,155,Balveer Dhar,41,M,A1
381,155,Viraj Varughese,31,M,A2
382,155,Chaitanya Korpal,35,M,A3
383,155,Balvan Zacharia,30,M,A4
384,156,Noah Sama,25,M,A1
385,157,Kalpit Bhat,38,M,A1
386,157,Frado Behl,25,M,A2
387,158,Jonathan Deo,40,M,A1
388,158,Laksh Kurian,41,M,A2
389,158,Daksh Ghosh,39,M,A3
390,159,Ganga Tandon,22,F,A1
391,159,Rehaan Khanna,26,M,A2
392,160,Fiyaz Shetty,31,M,A1
393,161,Abeer Mani,28,M,A1
394,162,Peter Sankaran,27,M,A1
395,162,Oliver Madan,37,M,A2
396,162,Chandran Kumer,26,M,A3
397,162,Vihaan Khurana,25,M,A4
398,163,Samesh Chaudhari,31,M,A1
399,163,Vincent Thaker,46,M,A2
400,164,Chakradhar Bhandari,32,M,A1
401,165,Jonathan Menon,27,M,A1
402,165,Baljiwan Setty,41,M,A2
403,166,Kai Lanka,34,M,A1
404,166,Thomas Boase,35,M,A2
405,166,Harish Ramaswamy,32,M,A3
406,166,Yatan Chopra,22,M,A4
407,167,Bina Bobal,29,F,A1
408,167,Udant Bahl,43,M,A2
409,167,Falan Acharya,34,M,A3
410,168,Chandresh Ghosh,36,M,A1
411,168,William Sarin,28,M,A2
412,168,Ganga Tandon,24,F,A3
413,168,Bhavya Zachariah,37,F,A4
414,169,Ayaan Chana,36,M,A1
415,169,Onkar Buch,39,M,A2
416,169,Maanav Jain,23,M,A3
417,170,Chatresh Parmer,27,M,A1
418,170,Brijesh Sarma,28,M,A2
419,170,Ekiya Banik,41,F,A3
420,171,Mitesh Tata,42,M,A1
421,171,Abhiram Bansal,36,M,A2
422,171,Ayaan Nazareth,35,M,A3
423,171,Samaksh Dani,24,M,A4
424,172,Andrew Dhaliwal,20,M,A1
425,172,Aditya Sinha,30,M,A2
426,173,Frederick Bhatt,25,M,A1
427,173,Deepa Tank,39,F,A2
428,174,Naveen Kala,38,M,A1
429,174,Gabriel Nayak,32,M,A2
430,174,Dipta Mahal,22,F,A3
431,174,Sarthak Ganguly,23,M,A4
432,175,Aarush Amble,32,M,A1
433,176,Harshil Dhar,42,M,A1
434,176,Yutika Seshadri,44,F,A2
435,176,Jagdish Ghosh,22,M,A3
436,177,Owen Sahota,26,M,A1
437,177,Jacob Handa,38,M,A2
438,178,Falan Som,41,M,A1
439,178,Gaurang Dutta,47,M,A2
440,178,Avi Patla,42,M,A3
441,179,Anthony Chawla,31,M,A1
442,179,Gaurang Dugar,28,M,A2
443,180,Vamakshi Nanda,36,F,A1
444,180,Hardik Nanda,23,M,A2
445,180,Christopher Nanda,38,M,A3
446,180,Chandran Khalsa,23,M,A4
447,181,Elijah Kalita,36,M,A1
448,181,Gaurav Ram,40,M,A2
449,181,Ekanta Shankar,43,F,A3
450,181,Praneel Madan,30,M,A4
451,182,Lohit Balasubramanian,25,M,A1
452,182,Ekanta Choudhry,45,F,A2
453,182,Vasudha Sahota,33,F,A3
454,183,Vihaan Mallick,35,M,A1
455,183,Tanish Koshy,34,M,A2
456,183,Nihal Saraf,24,M,A3
457,183,Falan Ahluwalia,38,M,A4
458,184,Simon Wali,28,M,A1
459,185,Benjamin Arora,38,M,A1
460,186,Chakradev Babu,38,M,A1
461,187,Harish Keer,41,M,A1
462,188,Hemang Buch,40,M,A1
463,188,Ayaan Varma,40,M,A2
464,189,Anmol Pau,45,M,A1
465,189,Gagan Bhavsar,26,M,A2
466,190,William Kadakia,36,M,A1
467,191,Quincy Pai,36,M,A1
468,191,Xavier Thaker,26,M,A2
469,191,Vrinda Wali,32,F,A3
470,191,Upkaar Pillai,36,M,A4
471,192,Gaurav Mani,42,M,A1
472,192,Chatura Gala,29,M,A2
473,192,Dayita Divan,34,F,A3
474,192,Vincent Thaker,45,M,A4
475,193,Sathvik Deo,41,M,A1
476,193,Oscar Salvi,30,M,A2
477,194,Tripti Oza,30,F,A1
478,194,Watika Wagle,22,F,A2
479,194,Veer Modi,40,M,A3
480,195,Ria Mani,18,F,A1
481,195,Ethan Pandit,33,M,A2
482,196,Faris Khanna,20,M,A1
483,196,Ansh Nadig,32,M,A2
484,197,Ethan Pradhan,28,M,A1
485,197,Finn Walla,21,M,A2
486,198,Aahana Tripathi,33,F,A1
487,198,Manbir Som,28,M,A2
488,198,Ethan Sathe,35,M,A3
489,199,Mitesh Bakshi,23,M,A1
490,199,Jonathan Menon,24,M,A2
491,200,Chakrika Yohannan,22,F,A1
492,200,Caleb Vala,27,M,A2
493,201,Ganga Tandon,22,F,A1
494,201,Tanay Pingle,22,M,A2
495,201,Quincy Arora,22,M,A3
496,202,Timothy Mani,24,M,A1
497,202,Simon Sachdeva,36,M,A2
498,203,Chaitanya Ahuja,37,M,A1
499,204,Matthew Modi,36,M,A1
500,205,David Mani,31,M,A1
501,205,Gaurav Swamy,42,M,A2
502,205,Akshay Dar,30,M,A3
503,205,Xiti Bhavsar,26,F,A4
504,206,Kai Gaba,42,M,A1
505,206,Eta Nagarajan,43,F,A2
506,206,Ekansh Parikh,42,M,A3
507,207,Balvan Varkey,40,M,A1
508,207,Gavin Chandra,39,M,A2
509,207,Neel Mutti,43,M,A3
510,208,Xavier Sabharwal,48,M,A1
511,208,Finn Chaudry,27,M,A2
512,209,Wakeeta Pall,41,F,A1
513,210,Ekta Karan,33,F,A1
514,211,Guneet Chokshi,22,M,A1
515,211,Ayushman Singh,38,M,A2
516,211,Jonathan Bassi,40,M,A3
517,211,Matthew Anne,40,M,A4
518,212,Elijah Mall,36,M,A1
519,212,Patrick Dyal,28,M,A2
520,212,Zayyan Bir,26,M,A3
521,213,Chandran Kala,27,M,A1
522,213,Qadim Goyal,43,M,A2
523,213,Chatresh Golla,21,M,A3
524,213,Ranveer Samra,39,M,A4
525,214,David Shukla,34,M,A1
526,215,Anmol Butala,27,M,A1
527,215,Yatin D’Alia,31,M,A2
528,215,Lucky Shan,43,M,A3
529,216,Harish Keer,42,M,A1
530,216,Wazir Pillai,37,M,A2
531,216,Abeer Swamy,29,M,A3
532,216,Rudra Sarma,31,M,A4
533,217,Hardik Nigam,26,M,A1
534,217,Saksham Das,29,M,A2
535,218,Ethan Sha,33,M,A1
536,219,Avi Bir,40,M,A1
537,219,Agastya Gola,21,M,A2
538,219,Faris Biswas,22,M,A3
539,220,Harrison Memon,36,M,A1
540,220,Xalak Thaman,27,F,A2
541,221,Tanveer Dani,37,M,A1
542,221,Umang Murty,38,M,A2
543,221,Timothy Sharaf,43,M,A3
544,221,Amol Goel,34,M,A4
545,222,Xalak Zacharia,22,F,A1
546,222,Wazir Dugar,22,M,A2
547,222,Nikita Murty,20,F,A3
548,222,Rohan Lall,19,M,A4
549,223,Qadim Palla,27,M,A1
550,224,Ayaan Konda,37,M,A1
551,224,Jacob Muni,26,M,A2
552,224,Bachittar Mody,38,M,A3
553,224,Om Gara,37,M,A4
554,225,Kiaan Bahri,31,M,A1
555,225,Advay Nadig,30,M,A2
556,225,Robert Naidu,25,M,A3
557,225,Yash Chaudhry,27,M,A4
558,226,Harrison Taneja,38,M,A1
559,226,Ishaan Apte,37,M,A2
560,226,Hredhaan Mani,22,M,A3
561,227,Tanay Kadakia,35,M,A1
562,227,Balvan Mittal,22,M,A2
563,227,Tarak Zacharia,32,M,A3
564,228,Zaid Kala,43,M,A1
565,228,Krish Walia,38,M,A2
566,229,Ekanta Choudhry,42,F,A1
567,229,Nathaniel Bhatt,22,M,A2
568,230,Rishi Singh,22,M,A1
569,230,Jacob Ravi,29,M,A2
570,230,Dakshesh Doctor,23,M,A3
571,230,Akshay Korpal,35,M,A4
572,231,Kai Mall,37,M,A1
573,231,Ganga Tandon,24,F,A2
574,231,Ansh Sunder,44,M,A3
575,232,Samar Patla,24,M,A1
576,233,Jatin Sane,29,M,A1
577,233,Jagat Das,26,M,A2
578,233,Nitesh Ramakrishnan,23,M,A3
579,233,Siddharth Kamdar,36,M,A4
580,234,Yatan Walla,38,M,A1
581,234,Daksh Nadig,25,M,A2
582,235,Advaith Banerjee,30,M,A1
583,236,Pratyush Dara,41,M,A1
584,236,Timothy Rama,35,M,A2
585,236,Ronith Kumer,25,M,A3
586,237,Yatan Sinha,23,M,A1
587,237,Osha Sami,36,F,A2
588,237,Faris Lal,34,M,A3
589,238,Sai Iyengar,31,M,A1
590,238,Naksh Butala,21,M,A2
591,238,Farhan Krish,31,M,A3
592,239,Kalpit Ghose,38,M,A1
593,239,Lohit Issac,32,M,A2
594,239,Sarthak Pillai,45,M,A3
595,239,Ronith Purohit,23,M,A4
596,240,Vihaan Issac,26,M,A1
597,241,Frederick Dalal,40,M,A1
598,242,Harsh Halder,47,M,A1
599,242,Maanas Talwar,23,M,A2
600,242,Dhruv Sankar,22,M,A3
601,243,Maanav Lala,21,M,A1
602,243,Umang Kothari,37,M,A2
603,243,Veer Chada,25,M,A3
604,244,Rehaan Sampath,28,M,A1
605,245,Peter Bath,42,M,A1
606,245,Jonathan Thaman,42,M,A2
607,246,Zayan Tailor,30,M,A1
608,246,Vinaya Deo,41,F,A2
609,246,Nathan Wali,31,M,A3
610,246,Ekta Lad,42,F,A4
611,247,Karan Lalla,36,M,A1
612,247,Tejas Gala,36,M,A2
613,247,Xalak Dora,19,F,A3
614,247,Avni Gulati,46,F,A4
615,248,Tejas D’Alia,41,M,A1
616,248,Anmol Sathe,32,M,A2
617,248,Xavier Shankar,27,M,A3
618,249,Frado Trivedi,43,M,A1
619,250,Champak Narasimhan,29,M,A1
620,250,Lucky Dara,26,M,A2
621,250,Rachit Cherian,37,M,A3
622,250,Faraj Balakrishnan,37,M,A4
623,251,Nicholas Dayal,21,M,A1
624,251,Arjun Mandal,27,M,A2
625,251,Ayaan Bobal,42,M,A3
626,252,Ryan Chakraborty,26,M,A1
627,252,Hemang Gaba,36,M,A2
628,253,Xalak Sankaran,25,F,A1
629,253,Dominic Parmer,36,M,A2
630,253,Qarin Vala,38,M,A3
631,254,Siddharth Chana,42,M,A1
632,255,Yachana Vyas,39,F,A1
633,255,Sarthak Shah,28,M,A2
634,256,Mason Dixit,27,M,A1
635,256,Mason Kothari,24,M,A2
636,256,Neelima Batta,27,F,A3
637,256,Arin Varghese,21,M,A4
638,257,Banjeet Thakur,20,M,A1
639,258,Manthan Murthy,44,M,A1
640,258,Umang Lanka,48,M,A2
641,258,Girik Kakar,36,M,A3
642,259,Abeer Garg,41,M,A1
643,259,Victor Ravel,24,M,A2
644,260,Dev Deshmukh,38,M,A1
645,261,Frederick Dalal,43,M,A1
646,261,Caleb Mitra,40,M,A2
647,262,Watika Sinha,25,F,A1
648,263,Atharv Nath,41,M,A1
649,263,Charan Sankaran,44,M,A2
650,263,Yachana Mannan,34,F,A3
651,264,Jack Bhat,43,M,A1
652,264,Imaran Sura,27,M,A2
653,264,Siddharth Mutti,26,M,A3
654,265,Nachiket Nigam,34,M,A1
655,266,Zehaan Kanda,34,M,A1
656,266,Vivaan Deep,25,M,A2
657,266,Saumya Saha,28,F,A3
658,267,Chameli Subramanian,22,F,A1
659,268,Aditya Parmer,21,M,A1
660,268,Pranav Dutt,22,M,A2
661,269,Jasmit Sur,38,F,A1
662,269,Onkar Pant,38,M,A2
663,269,Kiaan Dora,47,M,A3
664,270,Fiyaz Dalal,27,M,A1
665,270,Pratyush Dugar,29,M,A2
666,270,Timothy Toor,27,M,A3
667,271,Divya Jaggi,32,F,A1
668,271,Sarthak Ahuja,18,M,A2
669,272,Brijesh Lata,34,M,A1
670,273,Ishaan Devi,37,M,A1
671,273,Samuel Rout,31,M,A2
672,274,Balvan Mittal,21,M,A1
673,274,Abdul Varughese,36,M,A2
674,275,Andrew Dora,20,M,A1
675,275,Manbir Saini,41,M,A2
676,275,Max Murthy,33,M,A3
677,276,Orinder Ravel,23,M,A1
678,276,Matthew Chad,39,M,A2
679,277,Chandresh Ghosh,37,M,A1
680,278,Max Sami,24,M,A1
681,278,Ayushman Pradhan,21,M,A2
682,279,Udarsh Misra,31,M,A1
683,279,Nitesh Ramakrishnan,21,M,A2
684,279,Utkarsh Nori,40,M,A3
685,279,Ronith Divan,46,M,A4
686,280,Ranbir Venkatesh,21,M,A1
687,281,Vasana Chaudhari,35,F,A1
688,281,Simon Sabharwal,43,M,A2
689,282,Qasim Vora,46,M,A1
690,283,Finn Dhawan,18,M,A1
691,283,Xavier Shankar,21,M,A2
692,283,Daniel Kala,45,M,A3
693,283,Warjas Bali,37,M,A4
694,284,Anmol Virk,47,M,A1
695,284,Daniel Prabhu,32,M,A2
