ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
43,43,Benjamin Ahluwalia,23,5,1,1,2
44,44,Zayyan Hari,38,8,3,4,2
45,45,Ekalinga Krishna,69,5,1,2,1
46,46,Vedika Seshadri,36,1,1,4,1
47,47,Garima Srinivasan,28,8,1,4,2
48,48,Parth Bumb,56,2,3,4,2
49,49,Anirudh Tripathi,33,8,1,5,1
50,50,William Gandhi,62,7,1,2,2
51,51,Vivaan Basak,63,7,1,2,1
52,52,Harshil Verma,25,4,1,1,2
53,53,Faras Varughese,73,1,1,5,1
54,54,Siddharth Doctor,43,1,1,1,1
55,55,Varenya Srinivas,70,2,1,2,2
56,56,Tarak Sen,28,9,2,3,1
57,57,Lekha Deo,70,6,1,7,2
58,58,Girik Subramaniam,26,5,6,7,1
59,59,Viraj Chacko,71,5,1,4,1
60,60,Jacob Venkatesh,72,7,1,5,2
61,61,Samar Sachdev,21,4,1,7,2
62,62,Hamsini Ben,33,3,1,2,2
63,63,Nandini Verma,68,2,1,4,2
64,64,Omkaar Banik,19,3,1,3,2
65,65,Ekapad Chana,51,9,3,6,2
66,66,Niharika Toor,23,3,1,5,1
67,67,Zashil Savant,26,4,1,7,2
68,68,Adya Kothari,22,2,1,7,1
69,69,Vamakshi Murthy,26,8,4,7,1
70,70,Nachiket Chhabra,64,3,1,5,1
71,71,Yasti Mammen,39,3,2,6,1
72,72,Owen Shankar,68,7,2,3,2
73,73,Shivansh Raghavan,26,2,1,5,2
74,74,Qarin Tara,47,5,1,4,2
75,75,Ati Seshadri,67,6,1,4,2
76,76,Madhav Doctor,55,5,3,7,2
77,77,Gopal Sengupta,21,5,3,1,2
78,78,Yashvi Sura,58,6,1,3,2
79,79,Dipta Nadig,75,7,3,2,2
80,80,Wahab Krishnamurthy,37,1,2,2,2
81,81,Devansh Solanki,35,8,2,2,1
82,82,Frado Ramakrishnan,62,4,3,5,1
83,83,Peter Shan,58,8,1,1,1
84,84,Gaurav Sathe,53,9,3,5,1
85,85,Hemangini Mangat,75,5,2,4,1
86,86,Aditya Sani,61,7,6,2,1
87,87,Pahal Khatri,29,6,4,6,2
88,88,Sneha Magar,72,2,2,1,2
89,89,Chandran Warrior,63,7,3,6,1
90,90,Gautam Dora,21,6,1,4,1
91,91,Pratyush Handa,38,7,1,6,2
92,92,Saanvi Kota,67,2,5,6,1
93,93,Jason Kulkarni,18,1,2,3,1
94,94,Xavier Andra,30,7,2,3,2
95,95,Hamsini Bhasin,18,3,2,5,2
96,96,Reva Hans,38,2,6,5,1
97,97,Vedhika Sarma,27,8,1,6,1
98,98,Jeevika Setty,48,8,4,3,1
99,99,Caleb Dayal,68,1,5,2,2
100,100,Vyanjana Buch,40,6,4,7,2
101,101,Tarak Venkataraman,68,1,1,2,1
102,102,Yuvraj Gola,32,7,1,6,2
103,103,Indira Murty,26,2,1,6,1
104,104,Sara Ranganathan,41,7,1,6,2
105,105,Tristan Kala,44,3,1,5,2
106,106,Nachiket Devi,43,7,1,3,1
107,107,Charita Barad,22,3,1,7,2
108,108,Eta Thakkar,45,7,1,6,2
109,109,Frederick Rastogi,33,9,7,2,2
110,110,Amaira Sani,54,7,1,6,1
111,111,Omkaar Palla,58,8,4,2,1
112,112,Xavier Divan,47,8,1,4,2
113,113,Vasudha Dhaliwal,41,3,3,1,1
114,114,Ekalinga Rama,33,1,1,6,2
115,115,Diya Sundaram,71,6,6,1,1
116,116,Vrishti Ramaswamy,51,4,2,6,1
117,117,Warinder Thaker,24,6,1,5,2
118,118,Umang Doshi,33,1,5,2,1
119,119,Dayamai Viswanathan,63,5,3,1,1
120,120,Odika Sabharwal,67,2,1,7,2
121,121,Fariq Sood,35,5,1,5,1
122,122,Bachittar Rege,64,4,1,1,1
123,123,Benjamin Rai,55,9,1,5,1
124,124,Triya Ganesan,34,8,5,5,1
125,125,Pranit Deshmukh,47,8,1,2,1
126,126,Ishaan Sengupta,32,2,2,4,2
127,127,Mason Gaba,30,3,1,5,2
128,128,Sanaya Mani,26,9,1,1,1
129,129,Wazir Kalla,33,8,1,5,2
130,130,Sarthak Bawa,48,1,1,4,2
131,131,Bhavani Goel,75,4,1,3,2
132,132,Shaurya Kadakia,66,1,1,7,2
133,133,Aarav Dani,31,7,1,1,1
134,134,Abeer Comar,57,1,1,1,1
135,135,Gautami Shere,22,6,2,5,1
136,136,Azaan Nori,62,3,7,2,1
137,137,Siya Mittal,55,9,4,4,1
138,138,Sachi Toor,52,4,1,7,2
139,139,Lila Vig,26,7,5,2,2
140,140,Shaurya Nagi,44,8,1,6,1
141,141,Ishwar Aurora,69,7,1,6,1
142,142,Chandresh De,30,5,3,4,1
143,143,Gabriel Sandhu,32,1,1,2,1
144,144,Rudra Walla,73,1,1,2,2
145,145,Maanas Kuruvilla,51,6,2,3,2
146,146,Vaishnavi Chowdhury,34,9,1,6,1
147,147,Ekavir Mittal,60,8,1,5,2
148,148,Warinder Ghose,42,6,1,6,2
149,149,Sai Goda,56,8,1,4,2
150,150,Teerth Dewan,22,4,4,5,1
151,151,Joshua Menon,35,4,1,3,1
152,152,Vaishnavi Dewan,69,8,2,6,1
153,153,Ekbal Babu,26,6,3,1,2
154,154,Shivani Rajagopalan,70,7,2,5,1
155,155,Nirja Peri,28,7,2,7,1
156,156,Chatresh Oza,29,5,1,1,1
157,157,Chaitaly Mann,56,2,1,6,1
158,158,Avi Mangat,35,1,1,1,2
159,159,Sanya Pingle,61,8,1,5,2
160,160,Oliver Kade,36,8,1,7,1
161,161,Vamakshi Mitra,41,1,3,7,2
162,162,Lavanya Mutti,73,9,7,7,1
163,163,Zinal Nazareth,74,6,2,6,1
164,164,Sanaya Panchal,29,8,5,1,2
165,165,Jairaj Dar,53,9,4,5,2
166,166,Prisha Naik,48,4,1,5,1
167,167,Raagini Kamdar,30,7,3,7,1
168,168,Madhavi Lata,24,2,1,3,2
169,169,Aarush Rajagopalan,34,1,1,6,1
170,170,Balveer Rajagopalan,51,7,5,4,2
171,171,Aryan Khare,25,7,1,7,2
172,172,Tara Yadav,64,6,1,7,1
173,173,Xavier De,57,6,1,1,1
174,174,Dev Jain,65,2,3,3,2
175,175,Nitesh Sarna,67,9,1,1,2
176,176,Gaurav Mander,54,9,1,7,1
177,177,Pranit Tata,43,4,1,3,1
178,178,Girish Pathak,66,5,1,1,1
179,179,Shaurya Saran,40,8,5,5,2
180,180,Vedhika Varma,38,5,1,6,1
181,181,Ryan Prashad,32,4,1,2,1
182,182,Gautami Datta,22,3,1,4,2
183,183,Hemal Kannan,64,4,1,5,2
184,184,Chaitanya Baria,56,6,2,4,2
185,185,Varenya Chaudhari,70,8,1,4,1
186,186,Tejas Deo,57,7,1,7,2
187,187,Dalaja Edwin,50,6,2,1,2
188,188,Qasim Prabhakar,27,3,2,5,2
189,189,Charan Choudhry,48,8,1,2,1
190,190,Lakshit Natt,73,8,1,2,2
191,191,Ekani Pandit,54,7,1,5,1
192,192,Raghav Shankar,73,6,6,5,2
193,193,Matthew Jayaraman,19,1,6,7,1
194,194,Ansh Manne,26,7,1,4,1
195,195,Damini Garg,20,5,3,7,2
196,196,Tamanna Ganesan,60,2,4,3,2
197,197,Ridhi Lad,38,9,1,7,1
198,198,Jairaj Bakshi,22,8,1,6,1
199,199,Isaiah Srinivas,73,3,1,1,1
200,200,Thomas Sehgal,69,4,1,1,2
201,201,Robert Swaminathan,49,8,5,3,1
202,202,Hemani Panchal,37,5,1,3,1
203,203,Gabriel Dhawan,21,3,1,1,1
204,204,Anjali Sachdeva,48,1,1,7,1
205,205,Ubika Kapur,28,4,3,3,1
206,206,Vasana Sarin,46,7,3,2,1
207,207,Chatresh Mahajan,44,3,7,5,2
208,208,Anika Patil,61,9,1,4,1
209,209,Mohammed Thakur,32,6,3,6,2
210,210,Janani Dewan,22,5,1,1,1
211,211,Jeremiah Kadakia,48,5,1,1,1
212,212,Jatin Jha,24,3,1,6,2
213,213,Akshay Wadhwa,25,9,2,5,1
214,214,Yoshita Kari,67,2,1,1,1
215,215,Zinal Deshpande,39,9,1,6,1
216,216,Sachi Kara,29,8,1,4,1
217,217,Jagdish Dhar,53,6,4,2,1
218,218,Panini Tata,19,9,3,2,2
219,219,Jason Krishna,54,6,1,1,1
220,220,Eta Dua,36,9,1,4,2
221,221,Hemal Zachariah,54,5,1,4,1
222,222,Nitesh Swamy,41,4,1,4,2
223,223,Krishna Pandit,64,9,1,2,2
224,224,Harita Rai,68,2,1,2,2
225,225,Eshana Barad,37,2,1,5,1
226,226,Gayathri Taneja,24,1,7,1,2
227,227,Champak Mishra,21,2,1,4,1
228,228,Ryan Sachdeva,30,3,1,7,1
229,229,Darpan Vig,48,7,6,5,2
230,230,Nitara Loke,53,6,1,6,1
231,231,Ucchal Sunder,68,2,1,1,1
232,232,Christopher Chacko,19,6,2,4,2
233,233,Mekhala Dey,62,5,4,2,1
234,234,Hredhaan Gill,26,2,1,5,1
235,235,Vaishnavi Koshy,26,7,7,4,2
236,236,Wriddhish Kulkarni,54,1,2,6,1
237,237,Gautam Keer,27,5,1,4,2
238,238,Indira Salvi,29,2,3,6,2
239,239,Nirja Nagarajan,20,8,2,5,1
240,240,Ansh Bajaj,20,9,1,7,2
241,241,Om Bawa,35,6,1,2,2
242,242,Radhika Setty,50,9,5,2,1
243,243,Tanveer Mandal,46,9,2,1,2
244,244,Upasna Deol,50,4,7,3,2
245,245,Elijah Chandran,73,7,1,5,1
246,246,Chasmum Rana,23,8,5,7,1
247,247,Dhriti Basu,30,9,1,3,2
248,248,Chatura Karpe,25,9,1,5,1
249,249,Isaiah Divan,70,3,6,5,2
250,250,Simon Agrawal,45,1,6,2,2
251,251,Triveni Srinivasan,57,2,1,6,1
252,252,George Rastogi,19,9,5,5,2
253,253,Neha Mane,59,4,5,5,1
254,254,Vrishti Sehgal,34,4,3,4,1
255,255,Jyoti Grewal,70,1,1,1,1
256,256,Bina Sidhu,64,8,6,1,2
257,257,Yashvi Sandal,36,5,1,1,2
258,258,Ishaan Shere,74,8,5,5,1
259,259,Farhan Lad,73,1,1,1,1
260,260,Chavvi Patel,33,7,2,5,1
261,261,Rayaan Choudhury,58,9,1,7,2
262,262,Manbir Som,61,4,1,6,1
263,263,Shivani Kibe,61,9,3,7,1
264,264,Vinaya Ratta,57,6,3,7,2
265,265,Amrita Sahni,24,4,3,4,2
266,266,Rehaan Singh,51,9,5,3,1
267,267,Urmi Edwin,20,3,4,3,2
268,268,Oscar Iyengar,27,8,7,6,2
269,269,Yahvi Balay,47,6,1,2,2
270,270,Chandresh Sarma,29,3,1,5,2
271,271,Hardik Dube,22,3,1,2,2
272,272,Urvi Om,60,9,1,2,2
273,273,Oeshi Patel,67,6,2,1,1
274,274,Zaitra Pathak,20,2,2,1,1
275,275,Frado Nigam,73,1,2,3,2
276,276,Abhiram Mammen,49,5,1,5,2
277,277,Gaurika Ramakrishnan,41,5,1,2,2
278,278,Ayaan Zacharia,46,2,1,1,2
279,279,Yashica Pandya,19,4,1,1,1
280,280,Vivaan Palla,70,5,2,3,1
281,281,Henry Narang,70,7,1,5,2
282,282,George Bhatia,47,9,4,1,1
283,283,Zilmil Rana,52,7,5,3,1
284,284,Kala Dani,55,6,1,1,1
285,285,Kavya Mitter,19,5,1,3,1
286,286,Geetika Purohit,20,5,1,5,1
287,287,Gaurav Rout,73,7,1,5,1
288,288,Jai Wali,63,3,1,5,1
289,289,Pranit Sachdeva,45,3,1,7,1
290,290,Daniel Nanda,48,8,7,2,1
291,291,Amruta Bhat,59,8,1,2,2
292,292,Sanaya Chacko,33,1,1,6,2
293,293,Aadi Bhasin,52,8,7,5,2
294,294,Megha Das,74,4,7,5,2
295,295,Anjali Korpal,21,4,5,3,2
296,296,Odika Suresh,36,1,4,5,1
297,297,Peter Anand,41,7,1,4,2
298,298,Timothy Bahri,39,9,1,1,1
299,299,Meghana Choudhry,44,5,7,4,1
300,300,Anusha Handa,38,3,1,6,2
301,301,Zansi Bassi,40,9,2,4,1
302,302,Aryan Kara,46,8,6,6,1
303,303,Arjun Natt,28,1,1,5,1
304,304,Sanya Dash,20,8,1,7,1
305,305,Dominic Chaudry,41,6,1,3,1
306,306,Sudiksha Rajagopalan,49,8,1,7,2
307,307,Ekansh Hari,74,2,1,4,1
308,308,Manan Singh,61,6,2,4,1
309,309,Harita Gulati,26,4,1,2,1
310,310,Falguni Gaba,32,3,1,4,1
311,311,Udant Karpe,32,3,3,6,1
312,312,Ethan Parmar,42,4,3,2,1
313,313,Owen Nori,52,8,6,5,2
314,314,Dhruv Dani,30,6,7,4,1
315,315,Yash Batra,47,5,1,3,2
316,316,Yashoda Rama,65,3,1,5,2
317,317,Kashvi Vora,25,5,6,6,2
318,318,Sarthak Kanda,67,4,3,5,2
319,319,Pavani Purohit,33,3,1,6,2
320,320,Frado Merchant,42,1,1,4,1
321,321,Unni Sankaran,63,3,1,3,1
322,322,Yachana Varghese,60,6,1,3,2
323,323,Sai Nath,46,9,1,7,1
324,324,Netra Ravi,57,8,2,4,1
325,325,Utkarsh Kadakia,54,8,3,3,1
326,326,Liam Dave,38,4,1,3,2
327,327,Samarth Raman,34,1,1,6,2
328,328,Peter Balay,41,6,1,5,1
329,329,Libni Mander,63,7,1,5,1
330,330,Onveer Narain,37,4,2,6,2
331,331,Dayita Sankaran,30,4,1,2,2
332,332,Luke Sehgal,29,5,2,2,1
333,333,Bhavna Shan,71,8,2,6,1
334,334,Maya Bassi,46,2,3,1,1
335,335,Yamini Nanda,49,2,1,2,2
336,336,Baljiwan Anne,57,6,1,6,1
337,337,Onkar Badami,59,7,1,5,2
338,338,Riya Batta,24,2,1,3,2
339,339,Darika Sawhney,36,7,3,7,2
340,340,Ayaan Atwal,54,9,1,2,1
341,341,Yauvani Chokshi,60,1,1,4,1
342,342,Oscar Aurora,30,4,3,2,1
343,343,Xalak Chaudry,29,1,7,7,2
344,344,Lavanya Vaidya,49,1,2,5,2
345,345,Chaman Jaggi,28,7,1,4,1
346,346,Falguni Desai,46,6,6,1,1
347,347,Ekanta Goswami,56,1,1,3,2
348,348,Panini Goda,73,2,6,7,1
349,349,Oliver Sinha,46,8,1,4,1
350,350,Ubika Mohan,36,9,1,3,2
351,351,Mohammed Gupta,26,5,5,6,2
352,352,Vyanjana Ravel,42,5,3,5,2
353,353,Jyoti Bhardwaj,24,2,1,2,2
354,354,Advika Shah,70,6,1,7,2
355,355,Faris Vasa,38,9,3,7,1
356,356,Darika Ahuja,33,8,2,3,1
357,357,Vidhi Gopal,25,1,1,5,1
358,358,Ikbal Ganesan,54,3,1,5,2
359,359,Amaira Amble,46,6,7,2,2
360,360,Vedika Solanki,57,1,3,3,1
361,361,Atharv Das,29,7,1,5,2
362,362,Finn Pall,24,4,1,4,2
363,363,Wridesh Kohli,44,6,1,2,2
364,364,Vamakshi Dasgupta,61,7,1,4,1
365,365,Udant Lad,50,7,1,1,1
366,366,Joshua Munshi,33,5,3,4,1
367,367,Lipika Sampath,65,9,6,5,2
368,368,Diya Dhillon,66,5,1,1,1
369,369,Anusha Sridhar,62,6,6,4,1
370,370,Charles Gola,21,5,1,1,1
371,371,Barkha Hayer,28,3,6,7,1
372,372,Tejas Hayre,21,5,3,6,2
373,373,Radha Dixit,50,9,4,6,1
374,374,Keya Chakraborty,27,2,3,6,2
375,375,Jagdish Dada,67,2,5,7,1
376,376,Hardik Nanda,52,4,1,7,1
377,377,Sarthak Dalal,43,8,1,7,1
378,378,Neel Chahal,36,9,5,5,1
379,379,Sai Dey,49,6,4,2,1
380,380,Aadhya Lad,54,3,1,7,2
381,381,Ekavir Luthra,71,8,2,4,2
382,382,Niharika Bhatti,33,9,1,7,1
383,383,Upkaar Mahal,36,5,4,4,2
384,384,Jatin Gill,46,8,5,7,1
385,385,Neha Sood,32,6,2,3,2
386,386,Zaid Sahota,75,6,3,3,2
387,387,Anya Sangha,70,9,4,3,2
388,388,Faraj Khatri,48,8,1,3,1
389,389,Nidra Atwal,38,3,1,2,1
390,390,Parth Borde,37,9,1,1,1
391,391,Isaiah Nigam,63,8,1,7,1
392,392,Aarnav Ramesh,33,5,1,5,2
393,393,Falguni Misra,65,2,2,2,1
394,394,Frado Wadhwa,46,7,2,7,1
395,395,Qabil Yadav,38,6,1,5,1
396,396,Jagrati Issac,51,7,3,3,1
397,397,Vrinda Tandon,72,8,1,4,2
398,398,Xiti Arya,48,2,1,2,1
399,399,Adya Kota,43,3,2,6,2
400,400,Ranbir Dixit,28,1,1,6,2
401,401,Andrew Iyengar,60,4,4,6,1
402,402,Imaran Luthra,74,1,1,5,2
403,403,Qasim Krishnan,30,5,1,2,1
404,404,Kalpit Dara,34,9,3,6,1
405,405,Omya Krishnan,18,7,1,1,2
406,406,Chakradev Bhat,19,1,5,3,1
407,407,Yashodhara Rajagopalan,54,8,7,4,2
408,408,Aarush Dutta,72,1,1,7,2
409,409,Bishakha Baral,35,8,1,5,1
410,410,Ekta Chacko,34,1,2,1,2
411,411,Dakshesh Anne,25,9,1,1,2
412,412,Ekta Luthra,62,7,3,2,2
413,413,Tripti Goyal,61,3,4,4,1
414,414,Meera Guha,73,9,2,6,2
415,415,Agastya Bassi,64,9,5,1,2
416,416,Frederick Jain,45,1,1,4,1
417,417,Daksh Loke,21,6,2,4,1
418,418,Arjun Karan,54,5,1,4,2
419,419,Jalsa Chad,28,1,2,4,1
420,420,Jyoti Lanka,37,8,2,5,2
421,421,Ekantika Datta,43,7,6,6,1
422,422,Victor Rajagopalan,64,2,1,4,1
423,423,Janani Som,26,3,3,5,1
424,424,Oviya Kibe,39,7,3,6,1
425,425,Kamya Bhagat,50,7,2,5,1
426,426,Upma Sabharwal,75,5,5,3,1
427,427,Yahvi Dyal,64,1,1,6,1
428,428,Vansha Munshi,69,4,7,3,2
429,429,Dayamai Guha,31,2,4,4,1
430,430,Chaitanya Sule,26,8,3,2,2
431,431,Ishanvi Mandal,44,8,1,2,2
432,432,Yadavi Doctor,61,2,1,6,2
433,433,Girik Kata,73,2,1,5,1
434,434,Sathvik Borde,48,4,1,6,2
435,435,Triveni Kuruvilla,37,1,1,2,2
436,436,Brijesh Bhandari,52,5,2,6,1
437,437,Girik Palla,63,3,1,2,1
438,438,Vedika Kala,31,4,3,3,1
439,439,Anamika Krishnan,37,8,3,2,1
440,440,Aashi Gour,23,5,1,1,1
441,441,Akshay Dora,44,8,1,3,1
442,442,Raghav Salvi,37,3,1,3,2
443,443,Damyanti Thakkar,66,7,7,3,2
444,444,Nicholas Sarin,24,6,1,2,2
445,445,Bimala Salvi,24,5,1,4,2
446,446,Ucchal Sachar,56,2,1,6,2
447,447,Oeshi Khurana,20,2,7,1,1
448,448,Maya Behl,67,1,1,3,2
449,449,Jonathan Thaman,62,8,2,6,1
450,450,Tristan Mishra,33,3,1,3,2
451,451,Pranit Chander,31,6,1,5,1
452,452,Dipta Seshadri,48,7,1,5,2
453,453,Jacob Oza,63,2,6,3,2
454,454,Tarak Patla,68,9,3,1,2
455,455,Anusha Subramaniam,34,4,4,4,2
456,456,Rudra Mand,42,6,1,2,1
457,457,Anita Nagar,38,1,1,6,1
458,458,Oliver Bandi,21,4,7,2,1
459,459,Quincy Parmar,56,4,1,7,1
460,460,Eiravati Apte,24,7,1,7,1
461,461,Eesha Nagarajan,45,7,3,3,1
462,462,Anvi Sama,61,8,1,3,2
463,463,Balhaar Walla,51,3,1,1,2
464,464,Anvi Nadig,55,7,1,3,2
465,465,Maya Misra,65,6,3,5,1
466,466,Liam Cheema,31,4,2,5,1
467,467,Charles Lad,36,9,6,2,1
468,468,Jagdish Date,54,4,1,7,2
469,469,George Lalla,39,2,2,7,1
470,470,Simon Arya,75,9,2,6,2
471,471,Yamini Cherian,24,8,6,6,1
472,472,Damyanti Chaudry,69,9,1,2,2
473,473,Frado Pandya,24,7,1,5,1
474,474,Ranbir Rau,65,2,1,4,2
475,475,Balendra Lata,61,4,4,1,2
476,476,Samesh Garg,56,4,4,1,2
477,477,Qasim Thakur,63,4,2,4,1
478,478,Ekaraj Ganesan,31,4,1,5,1
479,479,Priya Natt,50,8,1,7,2
480,480,Bina Kari,39,8,1,2,1
481,481,Daksha Nayak,51,7,1,7,2
482,482,Zarna Sule,43,6,1,2,1
483,483,Jagvi Jhaveri,75,8,3,3,2
484,484,Jason Sant,60,5,1,7,2
485,485,Chaitaly Aurora,62,1,1,3,1
486,486,Inaya Mander,25,1,1,4,1
487,487,Theodore Balay,30,4,1,4,1
488,488,Ekantika Dewan,45,8,6,3,1
489,489,Rajeshri Char,41,6,1,4,1
490,490,Oviya Chakrabarti,65,1,3,4,1
491,491,Jeremiah Rau,35,6,1,7,2
492,492,Gunbir Mannan,52,3,1,4,1
493,493,Warhi Deshpande,52,2,2,6,1
494,494,Yashasvi Sawhney,56,3,1,4,1
495,495,Lucky Khosla,22,8,1,1,2
496,496,Ayaan Mander,21,7,3,6,1
497,497,Aradhana Andra,55,8,2,1,1
498,498,Yochana Bhatnagar,30,2,1,4,2
499,499,Netra Bir,33,8,2,5,1
500,500,Owen Rajagopalan,75,2,4,2,2
501,501,Zayyan Swaminathan,44,7,1,1,2
502,502,Qasim Wable,25,9,1,1,2
503,503,Ekavir Brar,45,7,2,7,1
504,504,Arin Kapur,35,7,1,7,1
505,505,Adya Balan,71,8,1,1,1
506,506,Wakeeta Bora,57,8,6,1,1
507,507,Benjamin Chawla,72,4,1,3,1
508,508,Ladli Badami,40,4,1,7,1
509,509,Jack Sarma,24,9,1,2,1
510,510,Alexander Krish,74,1,7,7,1
511,511,Zashil Jha,73,1,1,1,2
512,512,Eiravati Thakur,53,3,3,1,2
513,513,Vihaan Mody,57,9,1,2,1
514,514,Bahadurjit Madan,22,9,2,1,1
515,515,Chaitanya Kapur,31,9,1,7,1
516,516,Atharv Nayar,29,2,1,2,1
517,517,Panini Venkataraman,68,9,3,2,2
518,518,Frederick Krish,43,9,1,7,1
519,519,Balhaar Parmer,63,3,6,5,1
520,520,Pranit Kuruvilla,45,3,1,5,1
521,521,Ishwar Barad,66,1,1,1,1
522,522,Faras Tripathi,41,9,2,7,2
523,523,Kamya Sagar,48,5,3,5,1
524,524,Kavya Singhal,45,5,1,3,2
525,525,Faras Kapur,46,4,1,5,1
526,526,Xavier Pathak,74,6,7,6,2
527,527,Saumya Sahota,29,9,3,7,1
528,528,Warda Hora,47,2,7,6,1
529,529,Kevin Varma,68,9,3,3,2
530,530,Gayathri Nayar,63,4,1,3,1
531,531,Qadim Upadhyay,25,6,2,7,1
532,532,Yashoda Mammen,46,2,7,3,1
533,533,Zarna Vohra,63,2,1,5,2
534,534,Benjamin Kade,36,2,1,1,2
535,535,Bhavya Lad,42,1,1,5,1
536,536,Samuel Trivedi,51,9,1,1,2
537,537,Baghyawati Sandhu,39,2,3,5,1
538,538,Falan Narain,74,6,5,4,1
539,539,Harish Verma,72,8,2,2,1
540,540,Alka Singhal,59,8,2,6,2
541,541,Aarush Saraf,72,5,1,1,1
542,542,Ikshita Sule,66,4,2,5,1
543,543,Theodore Chowdhury,44,9,7,6,2
544,544,Eiravati Comar,52,7,1,2,2
545,545,Amrita Tripathi,66,5,7,3,1
546,546,Theodore Nori,54,6,3,2,2
547,547,Kai Zacharia,22,7,1,4,2
548,548,Naksh Wason,62,9,1,5,2
549,549,Harsh Thaker,33,4,3,5,1
550,550,Ethan Thaman,64,8,1,6,1
551,551,Samaksh Chaudhry,58,1,3,5,1
552,552,Meera Pradhan,44,1,5,6,1
553,553,Vansha Chopra,65,5,1,7,1
554,554,Fiyaz Dhaliwal,57,8,2,6,2
555,555,Niharika Ahluwalia,32,5,1,6,2
556,556,Yoshita Bumb,38,9,5,1,2
557,557,Ojas Hora,75,1,1,6,1
558,558,Chaman Dalal,50,6,2,4,2
559,559,Lohit Mannan,60,2,1,2,2
560,560,Ekalinga Ahluwalia,56,9,1,4,2
561,561,Akshay Hans,48,2,2,2,2
562,562,Harsh Date,19,1,2,3,1
563,563,Aadi Naik,67,9,5,1,1
564,564,Wridesh Ramaswamy,33,8,1,3,1
565,565,Arunima Dhar,74,5,3,4,2
566,566,Ijaya Gokhale,37,5,1,5,1
567,567,Girindra Pillay,40,4,6,6,2
568,568,Zehaan Mahal,74,9,1,6,2
569,569,Urvashi Chawla,46,9,1,1,1
570,570,Rishi Badal,33,2,7,2,2
571,571,Amara Chacko,70,6,1,2,1
572,572,Harita Shukla,41,6,1,7,2
573,573,Eesha Bahri,18,1,2,5,1
574,574,Arya Dey,62,7,2,4,1
575,575,George Suri,35,4,4,6,2
576,576,Sarthak Oommen,33,8,1,4,1
577,577,Jack Varughese,22,2,1,2,2
578,578,Rachit Parmar,57,8,4,5,1
579,579,Kashvi Nazareth,38,1,1,6,1
580,580,Liam De,19,9,1,7,2
581,581,Damyanti Buch,47,8,2,2,1
582,582,Harish Sinha,71,9,1,7,2
583,583,Panini Ramesh,60,3,1,7,1
584,584,Janaki Oak,47,2,2,3,2
585,585,Girik Nori,68,5,1,6,2
586,586,Lila Srivastava,47,7,1,7,1
587,587,Hiral Chaudhuri,38,1,2,1,1
588,588,Neelima Sami,30,3,7,2,1
589,589,Rudra Varma,41,6,1,3,2
590,590,Geetika Minhas,67,1,1,4,1
591,591,Ishanvi Bansal,23,3,1,4,1
592,592,Banjeet Bose,46,3,2,3,2
593,593,Qarin Kurian,25,8,1,3,1
594,594,Pratyush Mane,28,1,1,6,1
595,595,Falguni Ramachandran,58,4,5,4,1
596,596,Madhavi Kumer,38,6,1,1,2
597,597,Daksha Manne,45,4,1,3,2
598,598,Indira Sankar,25,9,2,1,2
599,599,Pranav Dutt,23,5,1,4,1
600,600,Eesha Thakkar,62,6,7,4,1
