EmployeeID,DistrictID,UnitID,RankID,DesignationID,KGID,FirstName,EmployeeDOB,GenderID,BloodGroupID,PhysicallyChallenged,AppointmentDate
38,2,3,7,7,KGID100038,Chanchal,1996-02-21,1,7,False,2011-03-31
39,2,3,1,4,KGID100039,Rushil,1972-09-20,2,3,False,2018-08-20
40,2,4,1,7,KGID100040,Aadi,1987-11-21,2,5,False,2010-09-10
41,2,4,8,7,KGID100041,Isaac,1999-02-11,1,8,False,2022-01-02
42,2,4,1,1,KGID100042,Damyanti,1975-08-31,1,1,False,2003-07-05
43,2,4,1,5,KGID100043,Farhan,1970-06-08,1,3,False,2010-08-13
44,2,4,3,7,KGID100044,Ekapad,2000-10-10,1,2,False,2011-12-21
45,2,4,1,1,KGID100045,Jeremiah,1971-11-21,2,4,False,2010-04-22
46,2,4,1,1,KGID100046,Noah,1976-07-14,1,6,False,2021-10-27
47,2,4,1,6,KGID100047,Pallavi,2000-04-24,1,5,False,2023-06-18
48,2,4,4,3,KGID100048,Sai,1991-10-07,1,2,True,2008-02-04
49,2,4,3,5,KGID100049,Kashvi,1982-06-02,2,2,False,2011-07-14
50,2,4,3,2,KGID100050,Jai,1975-12-14,2,2,False,1998-05-19
51,2,4,2,2,KGID100051,Ansh,1987-07-12,1,5,False,2003-03-13
52,2,4,9,6,KGID100052,Thomas,1967-10-08,1,5,False,2017-01-18
53,2,4,1,2,KGID100053,Daniel,1975-04-23,1,2,False,2022-10-12
54,3,5,1,5,KGID100054,Ganga,1969-12-06,1,6,False,2003-06-04
55,3,5,3,3,KGID100055,Vedika,1974-10-22,1,5,False,2000-05-11
56,3,5,5,1,KGID100056,Urvashi,1975-10-14,1,5,False,2010-03-28
57,3,5,2,2,KGID100057,Niharika,1973-12-30,1,5,False,1999-05-02
58,3,5,2,6,KGID100058,Raagini,1979-07-28,1,1,False,2008-06-11
59,3,5,8,6,KGID100059,Chatura,1990-06-02,2,1,False,2025-01-23
60,3,5,3,2,KGID100060,Guneet,1969-08-01,1,1,False,2017-08-22
61,3,5,6,7,KGID100061,Ikbal,1975-12-24,2,1,False,2002-01-14
62,3,5,1,2,KGID100062,Saumya,1972-04-15,1,6,False,2001-11-04
63,3,5,6,4,KGID100063,Turvi,1976-01-07,2,3,False,2023-04-19
64,3,6,6,7,KGID100064,Saanvi,1994-12-30,2,7,False,2021-05-06
65,3,6,4,3,KGID100065,Guneet,1969-03-30,2,7,False,2025-07-02
66,3,6,6,7,KGID100066,Alexander,2000-06-20,1,3,False,2023-05-22
67,3,6,1,7,KGID100067,Warjas,1973-03-06,1,8,False,2010-08-09
68,3,6,5,4,KGID100068,Tanay,1996-12-03,1,4,False,2022-09-10
69,3,6,4,4,KGID100069,Nitesh,1980-05-29,1,2,False,2025-02-04
70,3,6,1,6,KGID100070,Alka,1999-01-10,1,6,False,2019-04-17
71,3,6,1,3,KGID100071,Bhavika,1981-11-27,1,5,False,2024-04-13
72,3,6,3,3,KGID100072,Vidhi,1972-10-14,1,6,False,2005-02-15
73,3,6,9,1,KGID100073,Dalbir,1987-03-20,1,4,False,2012-03-30
74,3,6,4,1,KGID100074,Dipta,1969-06-19,1,4,False,2013-06-18
75,3,7,8,3,KGID100075,Yadavi,1998-10-13,1,2,False,2011-12-04
76,3,7,2,3,KGID100076,Dakshesh,2000-03-10,1,6,False,1998-11-05
77,3,7,1,2,KGID100077,Quincy,1969-11-07,1,7,False,1998-06-29
78,3,7,7,5,KGID100078,Wahab,1981-04-02,1,7,False,2023-10-30
79,3,7,1,3,KGID100079,Yatin,1987-03-17,1,6,False,1997-09-03
80,3,7,2,2,KGID100080,Finn,1981-10-11,1,3,False,2013-06-13
81,3,7,1,6,KGID100081,Diya,1999-04-22,1,6,False,2002-06-12
82,3,7,8,2,KGID100082,Dipta,1975-08-22,1,4,False,2008-01-01
83,3,7,1,1,KGID100083,Charita,1983-01-26,1,8,False,2023-06-19
84,3,8,2,6,KGID100084,Elijah,1967-11-03,1,7,False,2014-07-15
85,3,8,1,6,KGID100085,Harish,1970-01-05,1,2,False,2002-09-14
86,3,8,1,7,KGID100086,Alka,1972-01-10,2,8,False,2006-08-23
87,3,8,1,7,KGID100087,Ekapad,1997-06-02,1,3,False,2007-03-29
88,3,8,4,5,KGID100088,Nakul,1982-06-03,1,8,False,2012-04-10
89,3,8,4,5,KGID100089,Chasmum,1988-04-27,1,8,False,2025-02-24
90,3,8,4,4,KGID100090,Abhiram,1990-03-26,1,4,False,2012-08-09
91,3,8,1,7,KGID100091,Hemang,1999-06-13,1,4,False,2000-06-01
92,3,8,1,3,KGID100092,Jack,1997-10-10,1,6,False,2018-01-19
93,4,9,1,2,KGID100093,Nachiket,1976-10-13,1,3,False,2014-01-23
94,4,9,1,4,KGID100094,Hemal,1974-06-12,1,8,False,2014-11-30
95,4,9,1,4,KGID100095,Aishani,1984-09-15,1,1,False,2003-10-21
96,4,9,5,4,KGID100096,Charan,1970-08-30,1,6,False,2008-10-21
97,4,9,2,7,KGID100097,Aradhana,1969-01-08,1,4,False,2006-03-13
98,4,9,1,4,KGID100098,Kalpit,1989-03-09,1,6,False,2004-02-13
99,4,9,5,6,KGID100099,Riya,1986-04-13,1,8,False,2008-12-04
100,4,9,9,5,KGID100100,Aditya,1971-04-30,1,7,False,2023-12-05
101,4,9,4,1,KGID100101,Manthan,1986-01-27,1,3,False,2020-09-22
102,4,10,1,4,KGID100102,Manbir,1982-02-19,1,8,False,1997-09-26
103,4,10,5,4,KGID100103,Janya,1998-02-02,1,7,False,2019-08-11
104,4,10,1,1,KGID100104,Balveer,1998-02-01,1,1,False,2002-08-13
105,4,10,2,6,KGID100105,Zaid,1990-03-14,1,1,False,2006-10-12
106,4,10,8,2,KGID100106,Niharika,2000-08-20,2,3,False,2018-04-04
107,4,10,2,1,KGID100107,Warjas,1996-12-02,1,4,False,2024-10-30
108,4,10,1,3,KGID100108,Peter,1997-06-29,1,2,False,1997-03-29
109,4,10,1,3,KGID100109,Gaurangi,1994-02-15,1,1,False,2008-06-17
110,4,10,3,4,KGID100110,Yuvraj,1976-08-05,1,4,False,2019-05-10
111,4,10,4,6,KGID100111,Hritik,1980-07-12,1,5,False,1997-08-24
112,4,11,5,5,KGID100112,Upma,1975-02-01,2,6,False,2020-03-15
113,4,11,4,1,KGID100113,Triveni,1979-05-31,1,6,True,2020-04-26
114,4,11,2,4,KGID100114,Vedant,1975-02-07,1,6,False,2015-08-31
115,4,11,5,6,KGID100115,Mohini,1978-09-07,1,3,False,2021-08-03
116,4,11,8,3,KGID100116,Arya,1979-06-18,1,8,False,2011-04-18
117,4,11,5,5,KGID100117,Garima,1999-06-17,1,4,False,1999-11-13
118,4,11,1,4,KGID100118,Advika,1973-08-05,1,8,False,2024-06-08
119,4,11,4,3,KGID100119,Alka,1968-10-28,1,6,False,2013-10-27
120,4,11,1,7,KGID100120,Hemani,1992-04-17,1,5,False,2005-08-14
121,5,12,3,5,KGID100121,Yasti,1971-06-16,2,2,False,2022-08-10
122,5,12,2,5,KGID100122,Ranveer,1976-03-08,2,8,False,2017-01-28
123,5,12,2,7,KGID100123,Aarav,1985-03-14,1,5,False,2019-11-29
124,5,12,4,3,KGID100124,Ronith,1979-11-28,1,6,False,1998-07-21
125,5,12,3,4,KGID100125,Ganga,1988-09-16,2,6,False,2015-10-05
126,5,12,2,3,KGID100126,Jeet,1991-12-30,1,2,False,2005-03-26
127,5,12,2,6,KGID100127,Dayamai,1990-03-14,1,3,False,2005-12-24
128,5,12,4,3,KGID100128,Chakrika,1986-05-17,1,5,False,2002-01-31
129,5,12,5,3,KGID100129,Ladli,1990-07-21,1,3,False,2022-09-14
130,5,12,4,2,KGID100130,Charvi,1981-05-01,1,1,False,2020-09-12
131,5,12,4,2,KGID100131,Daksha,1977-04-12,1,8,False,2008-12-27
132,5,12,1,3,KGID100132,Ekanta,1983-05-02,1,8,False,2009-05-06
133,5,13,1,7,KGID100133,Tanay,1984-11-26,1,2,False,2019-07-17
134,5,13,1,6,KGID100134,Omkaar,1989-12-04,1,3,False,2004-10-01
135,5,13,3,3,KGID100135,Gautami,1970-09-12,1,4,False,2024-02-17
136,5,13,5,5,KGID100136,Wahab,1990-05-26,1,4,False,2003-01-14
137,5,13,2,4,KGID100137,Rushil,1972-07-13,1,7,False,1997-11-11
138,5,13,3,5,KGID100138,Vaishnavi,1988-04-22,2,2,False,2018-10-22
139,5,13,1,2,KGID100139,Tamanna,1981-08-12,1,2,False,2014-10-14
140,5,13,1,1,KGID100140,Robert,1991-12-13,1,7,False,2007-08-29
141,5,14,1,2,KGID100141,Mugdha,1975-10-27,1,5,False,2015-07-19
142,5,14,2,6,KGID100142,Abdul,1997-11-15,1,5,False,2021-06-22
143,5,14,3,6,KGID100143,Hredhaan,1993-12-28,2,4,False,2002-11-13
144,5,14,3,6,KGID100144,Zarna,1983-04-27,1,5,False,2012-09-08
145,5,14,1,2,KGID100145,Jairaj,1983-01-16,2,5,False,2019-10-06
146,5,14,2,3,KGID100146,Edhitha,1999-10-29,1,5,False,2022-05-16
147,5,14,2,1,KGID100147,Yamini,1982-01-12,1,7,False,2022-10-27
148,5,14,3,1,KGID100148,Sanaya,1998-01-11,1,1,False,2018-02-01
149,5,14,4,3,KGID100149,Vaishnavi,1982-10-29,1,3,False,2018-04-28
150,5,14,4,3,KGID100150,Aradhana,1993-07-24,1,7,False,2011-08-22
151,5,14,2,1,KGID100151,William,1976-11-10,1,7,False,1998-10-08
152,5,14,4,7,KGID100152,Bhavika,1975-07-01,1,7,False,2006-04-06
153,5,14,1,4,KGID100153,Faris,1972-03-24,2,1,False,2003-03-25
154,5,14,2,3,KGID100154,Michael,1991-07-18,1,7,False,1998-05-21
155,5,14,5,1,KGID100155,Nikita,1978-10-10,1,8,False,2010-01-13
156,6,15,3,5,KGID100156,David,1974-07-22,2,8,False,2008-09-15
157,6,15,1,5,KGID100157,Anmol,1996-08-26,1,5,False,2018-09-22
158,6,15,4,1,KGID100158,Lajita,1983-09-28,1,4,False,2023-11-11
159,6,15,2,1,KGID100159,Chanchal,1993-02-21,1,2,False,2021-04-09
160,6,15,5,1,KGID100160,Oni,1985-10-28,1,2,False,2017-10-29
161,6,15,1,6,KGID100161,Thomas,1984-02-15,1,5,False,2004-06-08
162,6,15,2,4,KGID100162,Vedika,1968-07-05,1,3,False,2006-04-09
163,6,15,7,5,KGID100163,Nidhi,1992-02-23,1,3,False,2020-11-23
164,6,15,1,7,KGID100164,Joshua,2000-11-13,2,6,False,2012-01-05
165,6,15,3,7,KGID100165,Meera,1987-08-25,1,5,False,2015-10-01
166,6,15,3,6,KGID100166,Fiyaz,1989-05-18,1,3,False,2000-06-16
167,6,16,2,5,KGID100167,Triya,1973-09-13,2,7,False,2004-01-25
168,6,16,2,2,KGID100168,Falak,1974-09-20,2,4,False,2005-12-31
169,6,16,1,7,KGID100169,Ladli,1976-12-25,1,6,False,2024-02-09
170,6,16,4,7,KGID100170,Oviya,1976-02-06,1,3,False,1998-11-24
171,6,16,1,5,KGID100171,Anirudh,1992-12-28,2,6,False,1998-01-12
172,6,16,6,4,KGID100172,Inaya,1975-02-23,1,8,True,1998-07-06
173,6,16,1,7,KGID100173,Banjeet,1993-03-02,1,3,False,2024-01-23
174,6,16,5,3,KGID100174,Ryan,1996-01-22,1,7,False,2014-07-17
175,6,16,6,7,KGID100175,William,1971-10-25,1,7,False,2015-12-08
176,6,16,3,7,KGID100176,Tejas,1983-05-03,1,1,False,2003-12-15
177,6,16,1,6,KGID100177,Jyoti,1973-03-24,2,4,False,2014-02-17
178,6,16,2,1,KGID100178,Ishwar,1993-12-20,2,2,False,2001-04-09
179,6,16,4,1,KGID100179,Deepa,1971-03-14,1,1,False,1997-04-07
180,6,16,2,2,KGID100180,Devika,1987-02-06,1,7,False,2022-11-08
181,6,16,5,2,KGID100181,Keya,1981-01-04,1,7,False,2017-04-04
182,6,17,2,5,KGID100182,Faqid,1987-08-28,1,8,False,2020-08-10
183,6,17,2,6,KGID100183,Xavier,1970-12-27,1,8,False,2018-12-04
184,6,17,4,2,KGID100184,Jai,1994-08-06,1,6,False,2012-12-07
185,6,17,1,4,KGID100185,Benjamin,1979-04-30,1,8,False,2008-12-11
186,6,17,1,4,KGID100186,Kamala,1969-11-13,2,2,False,2015-04-20
187,6,17,3,5,KGID100187,Advik,1996-05-29,1,5,False,2020-05-15
188,6,17,5,4,KGID100188,Hitesh,1982-04-06,1,1,False,2007-01-10
189,6,17,4,7,KGID100189,Tripti,1991-07-29,2,5,False,2009-02-24
190,6,17,1,7,KGID100190,Anamika,1988-06-19,1,4,False,2023-03-11
191,6,17,4,6,KGID100191,Veda,1983-05-01,2,3,False,2020-06-20
192,6,17,7,6,KGID100192,Amrita,1978-06-25,1,8,False,2003-08-23
193,7,18,4,1,KGID100193,Gabriel,1977-01-03,2,6,False,2009-08-05
194,7,18,1,2,KGID100194,Ucchal,1986-11-24,2,6,False,2015-11-25
195,7,18,7,7,KGID100195,Gayathri,1968-07-01,1,8,False,2021-03-14
196,7,18,1,7,KGID100196,Qabil,1984-02-06,1,2,False,2006-10-24
197,7,18,1,7,KGID100197,Aarna,1979-02-04,2,7,False,2022-01-19
198,7,18,5,3,KGID100198,Anya,1986-06-03,1,7,True,2011-07-04
199,7,18,3,4,KGID100199,Rayaan,1970-06-08,1,5,False,2017-05-28
200,7,18,5,3,KGID100200,Vrinda,1986-05-26,1,4,False,2003-06-29
201,7,18,3,5,KGID100201,Vamakshi,1989-06-26,1,4,False,2010-10-03
202,7,18,3,4,KGID100202,Anay,1970-09-08,2,5,False,2002-12-13
203,7,18,1,1,KGID100203,Yagnesh,1977-12-07,2,5,False,2013-05-21
204,7,18,1,2,KGID100204,Urvashi,1986-05-05,2,3,False,2006-06-29
205,7,18,2,6,KGID100205,Ganga,1979-06-27,1,7,False,2009-09-06
206,7,19,6,6,KGID100206,Damini,1976-01-27,1,8,False,2000-01-08
207,7,19,7,3,KGID100207,Reyansh,1978-04-02,1,6,False,2018-01-24
208,7,19,2,2,KGID100208,Qasim,1974-01-13,2,2,False,2017-12-10
209,7,19,2,6,KGID100209,Aradhana,1992-02-28,1,7,False,2024-11-04
210,7,19,8,7,KGID100210,Barkha,2000-11-10,2,2,False,2020-09-01
211,7,19,3,5,KGID100211,Chaman,1975-04-05,2,1,False,2001-09-22
212,7,19,1,2,KGID100212,Akshay,1991-08-06,2,4,False,2000-03-11
213,7,19,5,2,KGID100213,Chakradev,2000-08-25,1,4,False,2012-07-27
214,7,19,1,5,KGID100214,Jonathan,1989-03-18,1,3,False,2018-05-09
215,7,19,3,7,KGID100215,Harshil,1997-03-13,1,1,False,2013-03-03
216,8,20,5,2,KGID100216,Upasna,1983-10-20,1,1,False,2006-05-27
217,8,20,1,6,KGID100217,Charan,1976-02-09,1,2,False,2021-07-06
218,8,20,2,7,KGID100218,Ishaan,1995-06-23,1,2,False,2008-02-22
219,8,20,1,5,KGID100219,Ethan,1987-02-22,1,5,False,2016-06-05
220,8,20,8,1,KGID100220,Max,1972-08-05,2,7,False,2012-11-04
221,8,20,1,6,KGID100221,Daksha,1970-06-02,2,2,False,2003-09-20
222,8,20,2,2,KGID100222,Omaja,1988-02-20,1,5,False,2019-06-15
223,8,20,3,6,KGID100223,Upkaar,1993-11-24,1,5,False,2007-07-21
224,8,20,3,1,KGID100224,Saanvi,1977-08-19,2,2,False,2013-08-03
225,8,20,4,7,KGID100225,Pushti,1977-11-27,1,4,False,2014-07-13
226,8,20,6,4,KGID100226,Hardik,1999-09-29,1,8,False,2002-07-19
227,8,20,4,3,KGID100227,Siddharth,1976-07-09,1,5,False,1998-11-16
228,8,20,1,4,KGID100228,Wriddhish,1973-06-07,1,2,False,1998-09-13
229,8,21,4,3,KGID100229,Aarnav,1981-05-31,2,1,False,2016-07-06
230,8,21,3,3,KGID100230,Upma,1977-06-05,1,7,False,2003-03-27
231,8,21,4,7,KGID100231,Barkha,1991-06-05,1,1,False,2009-09-09
232,8,21,3,3,KGID100232,Vivaan,1998-12-09,1,4,False,2019-05-15
233,8,21,2,7,KGID100233,Rudra,1981-12-23,1,6,False,2012-04-25
234,8,21,1,2,KGID100234,Manthan,1998-05-30,2,1,False,2020-06-29
235,8,21,4,6,KGID100235,Ekbal,1969-07-20,1,3,False,2019-07-05
236,8,21,5,3,KGID100236,Bhavya,1982-06-15,1,3,False,2010-02-11
237,8,21,3,4,KGID100237,Daksha,1991-04-25,1,1,False,2023-11-10
238,9,22,2,4,KGID100238,Xiti,1985-11-19,1,6,False,2009-03-20
239,9,22,2,5,KGID100239,Balveer,1997-10-06,1,1,False,2017-10-28
240,9,22,5,1,KGID100240,Zashil,1968-05-27,1,5,False,2003-02-28
241,9,22,2,5,KGID100241,Ansh,2001-07-05,1,5,False,2016-01-07
242,9,22,3,3,KGID100242,Amruta,1987-02-12,1,5,False,2018-08-26
243,9,22,3,5,KGID100243,Parth,1983-07-10,1,1,False,2015-06-01
244,9,22,9,1,KGID100244,Arunima,1973-09-10,1,5,False,2013-06-30
245,9,22,5,7,KGID100245,Vyanjana,2000-06-21,1,6,False,2010-02-25
246,9,22,2,4,KGID100246,Nilima,1978-11-09,1,7,False,2015-12-16
247,9,22,1,5,KGID100247,Naveen,1978-09-26,2,6,False,2016-08-21
248,9,22,6,1,KGID100248,Bhavya,1990-01-19,1,8,False,2008-02-19
249,9,23,3,5,KGID100249,Balhaar,1982-12-27,1,7,False,2005-08-23
250,9,23,2,3,KGID100250,Ekiya,1971-06-19,1,8,False,2018-12-04
251,9,23,7,1,KGID100251,Yoshita,1995-07-28,1,2,False,1996-07-22
252,9,23,3,5,KGID100252,Turvi,1981-07-29,1,5,False,2001-12-17
253,9,23,1,7,KGID100253,Janaki,1988-09-10,1,2,False,2010-12-24
254,9,23,1,7,KGID100254,Riya,1993-05-13,1,3,False,2002-06-05
255,9,23,1,2,KGID100255,Karan,1999-01-24,1,3,False,2009-03-24
256,9,23,4,2,KGID100256,Vedhika,1971-08-26,2,8,False,2024-09-28
257,9,23,3,5,KGID100257,Wriddhish,1991-08-28,1,6,False,2005-07-14
258,9,23,3,2,KGID100258,Akshay,1986-04-20,1,8,False,1999-03-24
259,9,23,2,3,KGID100259,Ishaan,1983-03-19,1,6,False,1999-12-06
260,9,23,2,4,KGID100260,Mitesh,1984-06-20,1,6,False,2017-04-21
261,9,23,1,7,KGID100261,Yashodhara,1991-07-05,2,2,False,2008-07-27
262,9,24,2,5,KGID100262,Vasudha,2000-11-07,2,1,False,2003-08-04
263,9,24,5,6,KGID100263,Maanav,1980-07-25,1,8,False,2023-04-04
264,9,24,8,4,KGID100264,Yashoda,1992-11-24,1,6,False,2000-06-24
265,9,24,1,6,KGID100265,Ekaraj,1976-11-30,1,4,False,2019-06-07
266,9,24,10,5,KGID100266,Oeshi,1979-01-29,1,3,False,2019-05-14
267,9,24,7,4,KGID100267,Amara,1995-06-04,1,6,False,2004-09-21
268,9,24,1,6,KGID100268,Chanchal,1995-12-31,1,2,False,2013-05-04
269,9,24,3,4,KGID100269,Vrishti,1996-12-10,1,3,False,2009-06-21
270,9,24,3,2,KGID100270,Veda,1979-04-05,2,5,False,2012-07-11
271,9,24,4,4,KGID100271,Krishna,1983-01-02,1,2,False,2005-11-08
272,9,24,2,7,KGID100272,Ranbir,2000-11-14,1,3,False,2003-06-13
273,9,24,5,6,KGID100273,Leela,1975-06-19,2,2,False,2019-01-05
274,9,24,2,3,KGID100274,Caleb,1978-05-05,1,5,False,2010-03-28
275,9,24,1,7,KGID100275,Lakshmi,1980-08-25,1,4,False,2015-10-08
276,9,25,1,7,KGID100276,Max,1984-05-13,2,1,False,1997-08-06
277,9,25,6,5,KGID100277,Yadavi,2000-05-06,1,7,False,2006-02-24
278,9,25,1,6,KGID100278,Harish,1997-03-31,2,3,False,2009-04-16
279,9,25,1,3,KGID100279,Tanmayi,1968-01-17,1,4,False,2000-09-13
280,9,25,3,7,KGID100280,Mohammed,1970-01-25,1,8,False,2019-03-09
281,9,25,1,7,KGID100281,Alka,1979-01-13,2,4,False,2016-08-11
282,9,25,8,4,KGID100282,Faris,1996-06-26,1,5,False,2021-03-28
283,9,25,3,4,KGID100283,Lajita,1999-12-19,2,4,False,2014-09-13
284,9,25,1,3,KGID100284,Vinaya,1997-03-09,1,8,False,1997-07-25
285,9,25,3,1,KGID100285,Ekapad,1975-07-04,1,2,False,2016-05-15
286,9,26,1,5,KGID100286,Bhavna,2001-06-09,1,7,False,2018-03-06
287,9,26,7,7,KGID100287,Radha,2000-10-14,1,6,False,2018-07-28
288,9,26,2,4,KGID100288,Harish,1982-08-11,1,4,False,2016-08-24
289,9,26,1,2,KGID100289,Ayush,1969-02-01,1,2,False,2019-08-11
290,9,26,3,7,KGID100290,Chaaya,1979-09-17,1,1,False,2009-01-04
291,9,26,5,6,KGID100291,Yash,1985-08-01,2,8,False,2012-12-07
292,9,26,1,1,KGID100292,Pranit,1973-04-21,1,4,False,1998-10-24
293,9,26,3,6,KGID100293,Lavanya,1988-08-05,1,7,False,2003-07-04
294,9,26,1,3,KGID100294,Luke,1975-06-02,1,4,False,2015-01-08
295,9,26,5,4,KGID100295,Tripti,1976-03-15,1,8,False,1996-10-17
296,10,27,3,5,KGID100296,Udyati,1998-03-02,1,3,False,2016-03-04
297,10,27,1,3,KGID100297,Nakul,1970-01-13,1,7,False,2023-12-07
298,10,27,4,5,KGID100298,Chandani,1989-03-31,2,2,False,2008-10-29
299,10,27,3,7,KGID100299,Zashil,1983-01-21,2,1,False,2005-04-14
300,10,27,2,6,KGID100300,Leena,1996-07-15,1,6,False,1999-08-13
301,10,27,1,7,KGID100301,Lakshmi,1986-12-20,1,4,False,2013-03-11
302,10,27,3,7,KGID100302,Chakrika,1968-04-08,1,6,False,2020-08-04
303,10,27,2,3,KGID100303,Meghana,1976-11-08,2,3,False,2012-12-07
304,10,28,9,4,KGID100304,Chandran,1998-06-26,1,3,False,2018-02-17
305,10,28,5,4,KGID100305,Bhavini,1993-11-24,1,4,False,2003-03-13
306,10,28,1,1,KGID100306,Indira,1974-12-20,1,5,False,2002-01-13
307,10,28,9,5,KGID100307,Zashil,1990-07-27,1,1,False,2017-06-06
308,10,28,1,3,KGID100308,Laksh,1988-11-19,2,1,False,2022-09-20
309,10,28,2,1,KGID100309,Balveer,1978-01-10,2,7,False,2009-04-22
310,10,28,4,4,KGID100310,Janya,1992-06-04,1,3,False,1999-02-19
311,10,28,2,7,KGID100311,Chakrika,1978-08-19,1,2,False,2008-07-28
312,10,28,1,5,KGID100312,Sai,1972-01-07,2,3,False,2012-03-01
313,10,28,2,1,KGID100313,Jasmit,1985-07-28,1,5,False,2023-01-05
314,10,28,3,4,KGID100314,Nitesh,1976-04-05,1,8,False,2020-06-09
315,10,28,1,7,KGID100315,Vasatika,2000-05-31,2,7,False,2005-01-30
316,10,28,9,1,KGID100316,Hamsini,1994-11-13,1,7,False,2010-02-07
317,10,28,5,6,KGID100317,Faqid,1972-04-23,1,1,False,2024-07-20
318,10,28,3,7,KGID100318,Mekhala,2000-05-30,1,3,False,2019-11-09
319,11,29,2,5,KGID100319,Jasmit,1970-08-05,1,3,False,2007-12-19
320,11,29,8,3,KGID100320,Aishani,1985-10-07,1,2,False,2009-09-17
321,11,29,3,4,KGID100321,Adweta,1987-05-26,1,5,False,2020-05-16
322,11,29,1,6,KGID100322,Kamya,1971-03-17,1,7,False,2003-04-21
323,11,29,1,7,KGID100323,Aryan,1988-08-03,1,8,False,2023-11-16
324,11,29,3,6,KGID100324,Falak,1998-08-23,2,8,False,2002-12-10
325,11,29,1,1,KGID100325,Dev,1989-02-16,1,8,False,2009-12-26
326,11,29,5,7,KGID100326,Chasmum,1989-08-06,2,6,False,1999-11-27
327,11,29,3,3,KGID100327,Chakradev,1999-09-12,2,3,False,2005-05-07
328,11,29,7,6,KGID100328,Waida,1971-06-22,1,6,False,2003-05-02
329,11,29,1,2,KGID100329,Krishna,1980-09-26,2,4,False,2007-04-13
330,11,29,1,5,KGID100330,Oni,1987-06-30,1,8,False,2017-08-05
331,11,29,3,5,KGID100331,Oeshi,1989-10-16,2,2,False,2020-09-12
332,11,30,3,7,KGID100332,Nikita,1999-06-15,1,2,False,2004-08-20
333,11,30,2,1,KGID100333,Kamala,1974-11-29,1,6,False,2009-06-02
334,11,30,5,5,KGID100334,Warinder,1996-08-10,1,3,False,1999-05-28
335,11,30,1,5,KGID100335,Jhalak,1986-01-13,2,1,False,2024-11-17
336,11,30,3,3,KGID100336,Jagrati,1969-07-31,1,6,False,2004-07-10
