IdentityID,CanonicalName,DOBApprox,LinkedAccusedIDs,ResolutionConfidence,ResolutionMethod
54,Frederick Bhatt,,426,0.84,fuzzy_name_district
55,Sarthak Ganguly,,"431,746,5108,5305,13661",0.96,fuzzy_name_district
56,Jacob Handa,,"437,740",0.9,fuzzy_name_district
57,Anthony Chawla,,"441,918",0.96,fuzzy_name_district
58,Ekanta Choudhry,,"452,566,4744,5181,23854",0.9,fuzzy_name_district
59,Vihaan Mallick,,"454,3650,6817,24066",0.85,fuzzy_name_district
60,Simon Wali,,"458,8439,14738",0.92,fuzzy_name_district
61,Hemang Buch,,"462,1017,1806",0.83,fuzzy_name_district
62,Anmol Pau,,464,0.95,fuzzy_name_district
63,William Kadakia,,"466,3399,5912,6634,9810",0.94,fuzzy_name_district
64,Tripti Oza,,477,0.93,fuzzy_name_district
65,Chakrika Yohannan,,"491,3276,7634",0.89,fuzzy_name_district
66,Matthew Modi,,"499,861",0.92,fuzzy_name_district
67,Kai Gaba,,"504,1508,1721,6440,10187",0.87,fuzzy_name_district
68,Matthew Anne,,"517,3738",0.9,fuzzy_name_district
69,Elijah Mall,,"518,949,1240,7001,13012",0.91,fuzzy_name_district
70,Qadim Goyal,,"522,814,6948,14768",0.84,fuzzy_name_district
71,Abeer Swamy,,"531,1777,3402,5072,15593",0.93,fuzzy_name_district
72,Qadim Palla,,"549,1121,1879",0.82,fuzzy_name_district
73,Harrison Taneja,,"558,1362,6862,20571",0.87,fuzzy_name_district
74,Balvan Mittal,,"562,672,1019,2677,8610,24274",0.89,fuzzy_name_district
75,Nitesh Ramakrishnan,,"578,683,3446,12449,21374",0.95,fuzzy_name_district
76,Yatan Sinha,,"586,1248,21206",0.93,fuzzy_name_district
77,Naksh Butala,,"590,862,897,1000,2611,11257",0.86,fuzzy_name_district
78,Sarthak Pillai,,594,0.82,fuzzy_name_district
79,Frederick Dalal,,"597,645,1705",0.86,fuzzy_name_district
80,Jonathan Thaman,,"606,2470,2480,14225",0.93,fuzzy_name_district
81,Vinaya Deo,,608,0.9,fuzzy_name_district
82,Karan Lalla,,"611,1487,2935,21974",0.86,fuzzy_name_district
83,Mason Dixit,,"634,790,1337,1881,2448,10864",0.85,fuzzy_name_district
84,Caleb Mitra,,"646,1265,1560,7265,8132",0.9,fuzzy_name_district
85,Vivaan Deep,,"656,1460,19315",0.91,fuzzy_name_district
86,Divya Jaggi,,"667,8394,12803",0.98,fuzzy_name_district
87,Ishaan Devi,,"670,1244,2043",0.9,fuzzy_name_district
88,Samuel Rout,,"671,16801",0.94,fuzzy_name_district
89,Abdul Varughese,,"673,9366,14611",0.9,fuzzy_name_district
90,Daniel Prabhu,,"695,718,915,1662,5488",0.92,fuzzy_name_district
91,Darpan Ben,,712,0.86,fuzzy_name_district
92,Lohit Bath,,"722,1553,2114,12081,14920",0.86,fuzzy_name_district
93,Onveer Lal,,"724,1713,5012,21294",0.89,fuzzy_name_district
94,Aarnav Andra,,"728,1412,13663,20731,24426",0.98,fuzzy_name_district
95,Chakradev Mitter,,"733,6603",0.93,fuzzy_name_district
96,Jackson Tak,,"734,10077",0.89,fuzzy_name_district
97,Andrew Mand,,735,0.88,fuzzy_name_district
98,Devansh Lad,,"739,4816,21518",0.83,fuzzy_name_district
99,Viraj Tandon,,743,0.91,fuzzy_name_district
100,Amrita Srinivasan,,"748,15393",0.93,fuzzy_name_district
101,Devansh Bhatia,,"752,1169,2733,7638",0.87,fuzzy_name_district
102,Tristan Grewal,,"758,1148,6275",0.95,fuzzy_name_district
103,Ekapad Basu,,"759,2394,2431,5186,13880",0.89,fuzzy_name_district
104,Praneel Mukhopadhyay,,"761,15209",0.99,fuzzy_name_district
105,Siddharth Padmanabhan,,"763,9079,13015",0.98,fuzzy_name_district
106,Yug Kanda,,"766,1468,6946,18624",0.97,fuzzy_name_district
107,Ishanvi Ratta,,"767,11258,18391,19876",0.86,fuzzy_name_district
108,Ria Garg,,"775,1005,6897",0.83,fuzzy_name_district
109,Nidhi Maharaj,,"794,1786",0.97,fuzzy_name_district
110,Ekapad Lal,,"795,1059",0.83,fuzzy_name_district
111,Manya Jaggi,,"813,1360,5096,5166,5857,7770",0.86,fuzzy_name_district
112,Chatresh Parikh,,"835,4052",0.93,fuzzy_name_district
113,Imaran Bhatti,,"837,847,1271,1740,3316",0.9,fuzzy_name_district
114,Harsh Keer,,"852,6096",0.86,fuzzy_name_district
115,Rayaan Sane,,857,0.87,fuzzy_name_district
116,Chatura Padmanabhan,,"871,904,6865",0.91,fuzzy_name_district
117,Vasatika Ratti,,"881,4222,4464,13475,17528,18494",0.91,fuzzy_name_district
118,Devansh Tank,,"886,21476",0.91,fuzzy_name_district
119,Matthew Sibal,,887,0.87,fuzzy_name_district
120,Logan Kannan,,890,0.93,fuzzy_name_district
121,Vedant Din,,"898,1815,17946,20645",0.88,fuzzy_name_district
122,Gautam Rajagopalan,,"919,20961",0.98,fuzzy_name_district
123,Yash Bhatt,,922,0.93,fuzzy_name_district
124,Brijesh Dash,,"925,1804,2797",0.83,fuzzy_name_district
125,Simon Dhar,,"933,1840",0.94,fuzzy_name_district
126,Teerth Raghavan,,"934,9969",0.94,fuzzy_name_district
127,Ojas Mahajan,,"938,1001,1775,3855",0.96,fuzzy_name_district
128,Abdul Samra,,"952,7258",0.84,fuzzy_name_district
129,Peter Saraf,,"968,3091",0.85,fuzzy_name_district
130,Ucchal Narula,,"969,4967,5435,15829",0.86,fuzzy_name_district
131,Zashil Ramachandran,,"972,1724,3227",0.85,fuzzy_name_district
132,Jagat Majumdar,,"991,3516,6748,12014",0.98,fuzzy_name_district
133,Max Kannan,,"1003,1329,1498,1708,2928,4662,7898,11716",0.9,fuzzy_name_district
134,Chakradhar Tandon,,"1012,1436,3188,3935,4856,16434",0.91,fuzzy_name_district
135,Dalaja Vaidya,,"1022,1847,5456,14325",0.88,fuzzy_name_district
136,Ekavir Agarwal,,1023,0.98,fuzzy_name_district
137,Robert Sekhon,,1031,0.88,fuzzy_name_district
138,Ekapad Korpal,,1035,0.95,fuzzy_name_district
139,Ranbir Bal,,1042,0.83,fuzzy_name_district
140,Qadim Dhaliwal,,"1043,5577",0.83,fuzzy_name_district
141,Maanav Parsa,,"1064,11486",0.88,fuzzy_name_district
142,Utkarsh Murthy,,"1066,2013,2462",0.98,fuzzy_name_district
143,Rachit Chacko,,1072,0.88,fuzzy_name_district
144,Charles Mannan,,"1075,21774",0.91,fuzzy_name_district
145,Harish Ratti,,"1078,2228,8847,16469,24579",0.84,fuzzy_name_district
146,Jagvi Bajaj,,"1083,4649,11879",0.83,fuzzy_name_district
147,Abdul Issac,,"1088,2781,5149,5328,20394",0.96,fuzzy_name_district
148,Karan Verma,,"1091,1136,5942",0.86,fuzzy_name_district
149,Amrita Brar,,"1109,10412",0.87,fuzzy_name_district
150,Praneel Grover,,"1111,3598",0.96,fuzzy_name_district
151,Veda Das,,"1114,1677,9237,10262,11670",0.87,fuzzy_name_district
152,Tarak Sehgal,,1126,0.97,fuzzy_name_district
153,Nirja Das,,1133,0.83,fuzzy_name_district
154,Naksh Tak,,"1144,1259,1672",0.92,fuzzy_name_district
155,Baljiwan Talwar,,"1152,5820,6675,9658,19128",0.91,fuzzy_name_district
156,Akshay Soni,,"1160,3152,8717,11953",0.94,fuzzy_name_district
157,Maanas Aggarwal,,"1170,3039,8126",0.97,fuzzy_name_district
158,Ethan Shukla,,"1189,4316,5033",0.91,fuzzy_name_district
159,Maanav Gaba,,1190,0.85,fuzzy_name_district
160,Tarak Buch,,"1194,2606,14694",0.88,fuzzy_name_district
161,Manan Bera,,"1202,1310,3089",0.88,fuzzy_name_district
162,Harish Contractor,,"1206,6380",0.83,fuzzy_name_district
163,Maya Mitter,,1219,0.96,fuzzy_name_district
164,Zaid Soni,,"1224,22602",0.96,fuzzy_name_district
165,Maanas Borde,,"1237,7172",0.95,fuzzy_name_district
166,Advika Mand,,"1272,14136,19181",0.99,fuzzy_name_district
167,Ayush Buch,,"1277,5948",0.96,fuzzy_name_district
168,Azaan Lad,,"1280,2209",0.96,fuzzy_name_district
169,Falan Bal,,"1286,5958,16036,19818",0.92,fuzzy_name_district
170,Hritik Radhakrishnan,,"1288,1928,4010,23153",0.92,fuzzy_name_district
171,Falan Raj,,"1289,2049,5520",0.87,fuzzy_name_district
172,Warinder Vohra,,"1290,5740",0.9,fuzzy_name_district
173,Devika Khosla,,"1293,22444",0.89,fuzzy_name_district
174,Jai Memon,,"1304,2895,3377",0.96,fuzzy_name_district
175,Nathaniel Gokhale,,"1311,4033,16628",0.92,fuzzy_name_district
176,Peter Brar,,"1321,4196",0.89,fuzzy_name_district
177,Nisha Barad,,"1322,3284",0.86,fuzzy_name_district
178,Aarna Korpal,,"1323,7508",0.98,fuzzy_name_district
179,Yash Ramanathan,,"1330,1444,14824",0.97,fuzzy_name_district
180,Shaurya Rastogi,,"1359,2841,12609",0.89,fuzzy_name_district
181,Neel Prabhu,,1361,0.83,fuzzy_name_district
182,Abdul Nadkarni,,"1365,2252,3521",0.94,fuzzy_name_district
183,Girish Raja,,"1382,4440",0.95,fuzzy_name_district
184,Jatin Morar,,"1396,3050",0.93,fuzzy_name_district
185,Fariq Sama,,"1409,20032",0.94,fuzzy_name_district
186,Sai Balakrishnan,,"1413,2093",0.94,fuzzy_name_district
187,Victor Acharya,,"1415,1479",0.82,fuzzy_name_district
188,Faraj Prasad,,"1417,8096,11889",0.95,fuzzy_name_district
189,Jairaj Char,,"1419,7295",0.92,fuzzy_name_district
190,Oliver Warrior,,1429,0.84,fuzzy_name_district
191,Jairaj Bawa,,"1446,2131,9097",0.88,fuzzy_name_district
192,Nicholas Kant,,"1452,1658,10486,17585",0.9,fuzzy_name_district
193,Maanas Sharma,,"1453,2221,8964,10015",0.85,fuzzy_name_district
194,Tristan Doshi,,"1455,9299,20035",0.84,fuzzy_name_district
195,Zaid Kade,,1456,0.84,fuzzy_name_district
196,Isaiah Raval,,"1465,2066,2646",0.96,fuzzy_name_district
197,Shaurya Sahota,,"1470,9545,9952",0.94,fuzzy_name_district
198,Victor Konda,,1477,0.93,fuzzy_name_district
199,Thomas Sangha,,"1485,5265",0.92,fuzzy_name_district
200,Kalpit Oommen,,1488,0.98,fuzzy_name_district
201,Harrison Patla,,"1501,1811,4728",0.86,fuzzy_name_district
202,Vincent Chaudhari,,"1509,1550,4409,8045,13864",0.86,fuzzy_name_district
203,Tanveer Choudhury,,1511,0.96,fuzzy_name_district
204,Nathaniel Wali,,"1517,7719",0.83,fuzzy_name_district
205,Faras Naik,,"1519,2164,2313,2697,3783,4118",0.92,fuzzy_name_district
206,Laksh Chhabra,,"1527,2079,4482,4938",0.87,fuzzy_name_district
207,Onveer Majumdar,,"1530,14830",0.96,fuzzy_name_district
208,Nakul Karpe,,"1549,8283,9692",0.97,fuzzy_name_district
209,Ryan Chaudhry,,"1561,20613",0.96,fuzzy_name_district
210,Devansh Venkataraman,,"1565,8855",0.93,fuzzy_name_district
211,Farhan Saini,,"1566,2491",0.84,fuzzy_name_district
212,Harita Venkataraman,,"1567,12083",0.89,fuzzy_name_district
213,Gautam Patla,,1568,0.87,fuzzy_name_district
214,Vihaan Venkatesh,,"1580,1924",0.83,fuzzy_name_district
215,Girik Kumer,,"1587,14877,14891",0.96,fuzzy_name_district
216,Dayamai Dara,,"1591,4143",0.93,fuzzy_name_district
217,Fiyaz Prasad,,"1595,6513",0.91,fuzzy_name_district
218,Ekansh Mital,,"1599,2083,13824",0.96,fuzzy_name_district
219,Nihal Apte,,"1604,3362",0.94,fuzzy_name_district
220,Urishilla Lata,,"1615,7498",0.9,fuzzy_name_district
221,Anusha Palan,,"1617,2694,5132",0.91,fuzzy_name_district
222,Yug Kapur,,"1630,3061,5416,6018",0.84,fuzzy_name_district
223,Advay Sen,,"1638,3053,8537,17660",0.9,fuzzy_name_district
224,Upkaar Mukherjee,,1642,0.92,fuzzy_name_district
225,Aarnav Narain,,"1653,1878,5351",0.98,fuzzy_name_district
226,Nachiket Manne,,1657,0.84,fuzzy_name_district
227,Bhanumati Srinivasan,,1663,0.92,fuzzy_name_district
228,Saksham Saran,,"1665,3795,13471",0.83,fuzzy_name_district
229,Teerth Trivedi,,"1670,8788,15078",0.84,fuzzy_name_district
230,Maanav Agrawal,,"1674,2075",0.85,fuzzy_name_district
231,Ishaan Prabhu,,"1676,3768,6801,21906",0.9,fuzzy_name_district
232,Widisha Kulkarni,,"1679,16308",0.94,fuzzy_name_district
233,Rudra Barman,,"1681,16865",0.87,fuzzy_name_district
234,Gavin Yadav,,"1683,3491,7906",0.89,fuzzy_name_district
235,Wriddhish Chopra,,"1686,1820,2471,5930,10329",0.86,fuzzy_name_district
236,Jeremiah Pai,,1702,0.94,fuzzy_name_district
237,Suhani Hora,,"1718,2858,8021",0.95,fuzzy_name_district
238,William Garde,,1728,0.88,fuzzy_name_district
239,Bakhshi Goel,,"1730,2564,3257",0.88,fuzzy_name_district
240,George Tripathi,,"1749,2176,17616,21561,24428",0.87,fuzzy_name_district
241,Ishaan Gaba,,"1752,1887,1901,2091,5947",0.83,fuzzy_name_district
242,Faraj Dhar,,"1760,11249",0.9,fuzzy_name_district
243,Zaid Sant,,"1765,14074,20931",0.93,fuzzy_name_district
244,Ishwar Khalsa,,"1773,4333",0.93,fuzzy_name_district
245,Rehaan Divan,,"1774,2038,5308",0.82,fuzzy_name_district
246,Naksh Chokshi,,"1785,3080",0.83,fuzzy_name_district
247,Neel Randhawa,,"1788,5953",0.92,fuzzy_name_district
248,Omisha Banerjee,,"1789,3208",0.88,fuzzy_name_district
249,Neel Ram,,"1798,16081",0.92,fuzzy_name_district
250,Max Patel,,"1808,3231",0.89,fuzzy_name_district
251,Baljiwan Mammen,,"1818,7732",0.96,fuzzy_name_district
252,Udarsh Agarwal,,"1828,15636,23217",0.84,fuzzy_name_district
253,Isaiah Setty,,"1841,7714,8242",0.87,fuzzy_name_district
254,Henry Char,,"1842,10542",0.98,fuzzy_name_district
255,Manbir Dara,,"1844,12034",0.96,fuzzy_name_district
256,Yatan Balay,,1848,0.93,fuzzy_name_district
257,Siddharth Panchal,,"1849,8416,10383,23194",0.94,fuzzy_name_district
258,Chandresh Gala,,"1860,5652,16214",0.88,fuzzy_name_district
259,Caleb Grover,,"1866,6559",0.89,fuzzy_name_district
260,Radhika Kar,,"1873,5458",0.87,fuzzy_name_district
261,David Puri,,"1888,4659",0.9,fuzzy_name_district
262,Teerth Raju,,1900,0.87,fuzzy_name_district
263,Urmi Viswanathan,,"1904,2647,16118,21880",0.93,fuzzy_name_district
264,Naveen Bail,,"1905,5801,14430",0.95,fuzzy_name_district
265,Harshil Pradhan,,1907,0.92,fuzzy_name_district
266,Ikbal Murthy,,"1908,4786",0.96,fuzzy_name_district
267,Balveer Vohra,,"1917,3501,4074,15448",0.96,fuzzy_name_district
268,Upkaar Dixit,,"1918,6169,22541",0.91,fuzzy_name_district
269,Rudra Raval,,1932,0.9,fuzzy_name_district
270,Dalbir Sachar,,"1934,5546,12164",0.83,fuzzy_name_district
271,Quincy Jayaraman,,"1939,4966",0.97,fuzzy_name_district
272,Ekalinga Hayer,,"1951,3580,16227",0.92,fuzzy_name_district
273,Jason Kara,,"1955,1992,4275,7608,19141",0.89,fuzzy_name_district
274,Nitesh Upadhyay,,"1957,2040,6914",0.92,fuzzy_name_district
275,Samaksh Sankaran,,"1961,4672",0.9,fuzzy_name_district
276,Anmol Gandhi,,"1970,4628",0.9,fuzzy_name_district
277,Noah Chaudhry,,"1971,2010,5219",0.82,fuzzy_name_district
278,Vihaan Dixit,,"1980,3432,16440",0.89,fuzzy_name_district
279,Falan Borah,,"1981,11159,20193",0.95,fuzzy_name_district
280,Arjun Borra,,1999,0.85,fuzzy_name_district
281,Hitesh Ganesh,,2014,0.88,fuzzy_name_district
282,Aarush Murty,,"2017,17960",0.83,fuzzy_name_district
283,Chatresh Sood,,"2033,13621,13742",0.87,fuzzy_name_district
284,Charles Badal,,2036,0.95,fuzzy_name_district
285,Henry Choudhry,,"2046,7473,7793",0.83,fuzzy_name_district
286,Unni Atwal,,2054,0.94,fuzzy_name_district
287,Harish Majumdar,,"2057,14428,17789",0.89,fuzzy_name_district
288,Jacob Sunder,,"2059,2441,6979,9228,18901,24772",0.86,fuzzy_name_district
289,Dayamai Loyal,,"2061,3656,23869",0.98,fuzzy_name_district
290,Chatresh Khurana,,"2062,2104,2929,12537",0.9,fuzzy_name_district
291,Jason Nair,,2067,0.99,fuzzy_name_district
292,Vivaan Sachar,,"2071,9275",0.85,fuzzy_name_district
293,Andrew Kunda,,"2073,2229,3388,7644,13024",0.83,fuzzy_name_district
294,Azad Dutt,,"2084,2174,2488,6467,8310,18733",0.89,fuzzy_name_district
295,Ranbir Amble,,"2085,2267,20192",0.96,fuzzy_name_district
296,Kiaan Venkatesh,,"2087,2196,8348",0.88,fuzzy_name_district
297,Ekansh Bera,,"2092,3015,3852",0.89,fuzzy_name_district
298,Ayush Bal,,"2103,10021,13456",0.88,fuzzy_name_district
299,Jeremiah Butala,,"2121,3961",0.85,fuzzy_name_district
300,Anusha Ramakrishnan,,"2122,2305,10498,11283",0.97,fuzzy_name_district
301,Daksh Datta,,"2138,7771,9935,12088",0.89,fuzzy_name_district
302,Balhaar Nagi,,2151,0.92,fuzzy_name_district
303,Chatura Sunder,,"2153,3198",0.94,fuzzy_name_district
304,Manbir Dhillon,,"2163,6065,8646,12020",0.93,fuzzy_name_district
305,Samar Bajaj,,2168,0.98,fuzzy_name_district
306,Dhruv Devan,,"2190,2515,8297,11402,18057",0.9,fuzzy_name_district
307,Vinaya Buch,,2194,0.89,fuzzy_name_district
308,Frederick Grover,,"2205,3995",0.87,fuzzy_name_district
309,Shaurya Garg,,"2206,3056",0.85,fuzzy_name_district
310,Ronith Pau,,2216,0.95,fuzzy_name_district
311,Abhiram Dutt,,"2220,4544,6812",0.83,fuzzy_name_district
312,Jeremiah Tripathi,,2222,0.92,fuzzy_name_district
313,Vihaan Talwar,,2226,0.84,fuzzy_name_district
314,Girik Koshy,,"2232,4777,16494",0.86,fuzzy_name_district
315,Qabil Kade,,"2243,10042",0.86,fuzzy_name_district
316,Om Uppal,,"2256,2784,4217,9269",0.97,fuzzy_name_district
317,Lucky Mitter,,"2263,3780,8306",0.91,fuzzy_name_district
318,Girish Bhatnagar,,"2268,2866,2925,10733",0.9,fuzzy_name_district
319,Fariq Jani,,2271,0.98,fuzzy_name_district
320,Ekansh Raghavan,,"2274,2789,7033,8860",0.88,fuzzy_name_district
321,Viraj Venkataraman,,"2291,6458",0.93,fuzzy_name_district
322,Charles Dayal,,2304,0.86,fuzzy_name_district
323,Ansh Dara,,"2306,7277",0.98,fuzzy_name_district
324,Ikshita Samra,,"2316,9737",0.84,fuzzy_name_district
325,Avi Sami,,"2319,4004",0.96,fuzzy_name_district
326,Brijesh Sankar,,"2322,2953,7087,11185,23367",0.98,fuzzy_name_district
327,Siddharth Morar,,"2326,2937,3408",0.91,fuzzy_name_district
328,Deepa Hegde,,2339,0.88,fuzzy_name_district
329,Thomas Kumar,,"2345,5845,13903,20239",0.82,fuzzy_name_district
330,Ekapad Soman,,"2346,5938",0.97,fuzzy_name_district
331,Dalbir Bedi,,"2349,9685,11354",0.99,fuzzy_name_district
332,Nathan Gera,,"2353,5341,18962",0.98,fuzzy_name_district
333,Leela Chandran,,2364,0.83,fuzzy_name_district
334,Hredhaan Chowdhury,,2386,0.89,fuzzy_name_district
335,Aarav Rattan,,2392,0.92,fuzzy_name_district
336,Raghav Mahal,,"2403,3865,13727",0.96,fuzzy_name_district
337,Oliver Palan,,"2410,6186,18141",0.93,fuzzy_name_district
338,Zayan Krishnamurthy,,"2414,2706",0.95,fuzzy_name_district
339,Laban Sehgal,,2418,0.9,fuzzy_name_district
340,Leena Lala,,"2437,5126",0.89,fuzzy_name_district
341,Aadi Sekhon,,2459,0.96,fuzzy_name_district
342,Warinder Wadhwa,,"2464,8155",0.84,fuzzy_name_district
343,Elijah Mand,,2472,0.9,fuzzy_name_district
344,Saksham Devi,,"2473,3647,6604,8728,18293",0.88,fuzzy_name_district
345,Ekavir Date,,"2478,14110",0.96,fuzzy_name_district
346,Yadavi Acharya,,2479,0.9,fuzzy_name_district
347,Xavier Venkatesh,,"2483,7848",0.9,fuzzy_name_district
348,Robert Prakash,,"2484,22442",0.85,fuzzy_name_district
349,Samuel Padmanabhan,,"2494,4445",0.83,fuzzy_name_district
350,Om Doshi,,"2500,15817",0.87,fuzzy_name_district
351,Amol Sarma,,"2518,3731",0.84,fuzzy_name_district
352,Abeer Bahl,,"2527,21635",0.97,fuzzy_name_district
353,Dev Kamdar,,"2529,7845",0.86,fuzzy_name_district
354,Abdul Bora,,"2534,4561",0.91,fuzzy_name_district
355,Ronith Sawhney,,"2543,10413",0.96,fuzzy_name_district
356,Gaurav Anand,,2547,0.92,fuzzy_name_district
357,Frado Sood,,"2557,2615",0.95,fuzzy_name_district
358,Balhaar Singh,,"2568,2769",0.84,fuzzy_name_district
359,Sathvik Ramaswamy,,"2573,9552,15415",0.96,fuzzy_name_district
360,Ronith Pathak,,"2576,4402,6910,14701",0.97,fuzzy_name_district
361,Charles Badami,,"2599,4673,20374",0.86,fuzzy_name_district
362,Aarav Choudhury,,"2610,7560,8493",0.92,fuzzy_name_district
363,Rushil Wadhwa,,"2613,9678",0.93,fuzzy_name_district
364,Caleb Tripathi,,2622,0.85,fuzzy_name_district
365,Harish Raj,,"2625,6689,10441",0.88,fuzzy_name_district
366,Indrajit Goswami,,"2627,23057",0.91,fuzzy_name_district
367,Aarush Sunder,,"2635,12430",0.95,fuzzy_name_district
368,Wazir Bath,,"2638,15875",0.89,fuzzy_name_district
369,Mohammed Saran,,"2656,6622",0.88,fuzzy_name_district
370,Gopal Mangat,,"2678,3417",0.84,fuzzy_name_district
371,Ansh Mittal,,"2679,9762,10411,11658",0.91,fuzzy_name_district
372,Jack Seshadri,,2688,0.98,fuzzy_name_district
373,Omkaar Golla,,2695,0.91,fuzzy_name_district
374,Aayush Deshpande,,"2696,7648",0.88,fuzzy_name_district
375,Tanay Dhar,,"2701,5764",0.88,fuzzy_name_district
376,Ayush Ghose,,"2703,8019,11806",0.89,fuzzy_name_district
377,Ayush Sarna,,"2709,10628",0.98,fuzzy_name_district
378,Faraj Singh,,"2712,23243",0.83,fuzzy_name_district
379,Xavier Manne,,"2719,4991,10410",0.98,fuzzy_name_district
380,Agastya Nori,,"2742,12901,15302",0.89,fuzzy_name_district
381,Urishilla Sahni,,"2746,11216,20649",0.9,fuzzy_name_district
382,Abhiram Mody,,"2753,4075",0.87,fuzzy_name_district
383,Chanakya Dyal,,2758,0.94,fuzzy_name_district
384,Devansh Sibal,,2778,0.89,fuzzy_name_district
385,Gaurav Badal,,2780,0.96,fuzzy_name_district
386,Ekanta Bajaj,,2786,0.98,fuzzy_name_district
387,Chatresh Rai,,2792,0.82,fuzzy_name_district
388,Michael Zachariah,,2801,0.84,fuzzy_name_district
389,Atharv Thakkar,,2808,0.82,fuzzy_name_district
390,Manan Sarraf,,"2815,3816,5129",0.9,fuzzy_name_district
391,Wriddhish Ramachandran,,2817,0.97,fuzzy_name_district
392,Maanas Nath,,"2819,19806",0.95,fuzzy_name_district
393,Dalbir Thakkar,,2823,0.99,fuzzy_name_district
394,Ojas Kashyap,,"2828,17814",0.84,fuzzy_name_district
395,Shivansh Chacko,,"2831,6021,7128,20252",0.96,fuzzy_name_district
396,Rayaan Taneja,,"2839,3313,7863",0.86,fuzzy_name_district
397,Balveer Maharaj,,"2853,18836",0.9,fuzzy_name_district
398,Mason Kala,,"2864,10219",0.84,fuzzy_name_district
399,Daksh Khalsa,,"2886,5270,6637,20650",0.96,fuzzy_name_district
