CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
19,400040011202400001,202400001,2024-11-27,114,11,4,2,1,4,5,8,2024-11-25T01:40:24.175176,2024-11-27T14:40:24.175176,2024-11-27T14:40:24.175176,15.901909,74.456827,"Ishita Sarma reported an incident of Kidnapping that occurred near Loyal, Belagavi. Details recorded and investigation taken up."
20,300010002202600001,202600001,2026-02-20,22,2,2,2,4,20,4,2,2026-02-20T13:40:24.175295,2026-02-20T14:40:24.175295,2026-02-20T14:40:24.175295,12.989879,77.623991,"Nathaniel Chawla reported an incident of Identity Theft that occurred near Subramanian Marg, Bengaluru Urban. Details recorded and investigation taken up."
21,100040010202600001,202600001,2026-02-18,111,10,1,2,2,11,4,7,2026-02-15T16:40:24.175371,2026-02-18T14:40:24.175371,2026-02-18T14:40:24.175371,15.797578,74.473906,"Ayush De reported that a two-wheeler parked near Sura Chowk, Belagavi was found missing. No witnesses present at the time of the incident."
22,100040010202500002,202500002,2026-05-13,102,10,1,2,2,11,5,8,2026-05-11T20:40:24.175492,2026-05-13T14:40:24.175492,2026-05-13T14:40:24.175492,15.836971,74.475039,"Hiral Rajan reported that a two-wheeler parked near Bhagat Street, Belagavi was found missing. No witnesses present at the time of the incident."
23,100040009202500003,202500003,2026-03-06,101,9,1,2,2,11,4,8,2026-03-03T16:40:24.175630,2026-03-06T14:40:24.175630,2026-03-06T14:40:24.175630,15.911366,74.448122,"Ganga Mall reported that a two-wheeler parked near Tripathi Nagar, Belagavi was found missing. No witnesses present at the time of the incident."
24,100080021202500001,202500001,2025-02-02,230,21,1,2,4,21,3,15,2025-02-01T19:40:24.175722,2025-02-02T14:40:24.175722,2025-02-02T14:40:24.175722,13.988775,75.548073,"Sanya Mutti reported receiving repeated unwanted messages and threats via social media from an unknown profile, causing distress."
25,100270084202600001,202600001,2026-04-12,979,84,1,2,6,28,2,54,2026-04-11T20:40:24.175821,2026-04-12T14:40:24.175821,2026-04-12T14:40:24.175821,12.367806,75.843692,"Daksha Trivedi reported an incident of Unlawful Assembly that occurred near Jhaveri Circle, Kodagu. Details recorded and investigation taken up."
26,100260081202600001,202600001,2026-06-12,947,81,1,2,3,17,7,51,2026-06-10T00:40:24.175955,2026-06-12T14:40:24.175955,2026-06-12T14:40:24.175955,11.937855,76.925673,"Urvashi Patla reported an incident of Sexual Harassment that occurred near Comar Chowk, Chamarajanagara. Details recorded and investigation taken up."
27,100040011202600002,202600002,2026-04-04,117,11,1,2,2,7,1,8,2026-04-02T18:40:24.176061,2026-04-04T14:40:24.176061,2026-04-04T14:40:24.176061,15.831396,74.495523,"Hredhaan Kumar reported that valuables including cash and jewellery were stolen from the premises at Hayre, Belagavi while the house was unattended."
28,100290089202600001,202600001,2026-06-12,1032,89,1,1,1,2,1,57,2026-06-11T11:40:24.176152,2026-06-12T14:40:24.176152,2026-06-12T14:40:24.176152,16.796806,77.109842,"Tanvi Halder reported an incident of Attempt to Murder that occurred near Chokshi Path, Yadgir. Details recorded and investigation taken up."
29,400010001202500001,202500001,2025-12-27,12,1,4,2,2,13,2,1,2025-12-25T01:40:24.176294,2025-12-27T14:40:24.176294,2025-12-27T14:40:24.176294,13.032751,77.655209,"Oscar Dave reported an incident of Cheating that occurred near Ram Zila, Bengaluru Urban. Details recorded and investigation taken up."
30,100030008202600001,202600001,2026-01-20,85,8,1,1,2,9,1,6,2026-01-17T22:40:24.176422,2026-01-20T14:40:24.176422,2026-01-20T14:40:24.176422,12.241423,76.688136,"Yauvani Mistry reported an incident of Dacoity that occurred near Murthy Circle, Mysuru. Details recorded and investigation taken up."
31,100150039202400001,202400001,2024-10-30,450,39,1,1,2,9,3,29,2024-10-27T19:40:24.176500,2024-10-30T14:40:24.176500,2024-10-30T14:40:24.176500,13.378402,74.765319,"Yahvi Naidu reported an incident of Dacoity that occurred near Pandey Zila, Udupi. Details recorded and investigation taken up."
32,100050012202400001,202400001,2024-12-18,123,12,1,2,3,15,2,9,2024-12-17T23:40:24.176625,2024-12-18T14:40:24.176625,2024-12-18T14:40:24.176625,15.112367,76.905412,"Aryan Raj reported an incident of Molestation that occurred near Bera Street, Ballari. Details recorded and investigation taken up."
33,100040009202500004,202500004,2025-08-12,101,9,1,2,4,23,2,8,2025-08-12T11:40:24.176736,2025-08-12T14:40:24.176736,2025-08-12T14:40:24.176736,15.816059,74.525946,"Harsh Kapur reported an incident of OTP Fraud that occurred near Ramachandran Circle, Belagavi. Details recorded and investigation taken up."
34,100030007202600001,202600001,2026-05-04,79,7,1,2,5,25,2,6,2026-05-02T23:40:24.176835,2026-05-04T14:40:24.176835,2026-05-04T14:40:24.176835,12.338416,76.661243,"Samaksh Savant reported an incident of Trafficking that occurred near Pillai Ganj, Mysuru. Details recorded and investigation taken up."
35,300040011202400001,202400001,2024-10-20,120,11,2,2,5,26,3,7,2024-10-19T18:40:24.176900,2024-10-20T14:40:24.176900,2024-10-20T14:40:24.176900,15.830136,74.446924,"Peter Borde reported an incident of Cultivation that occurred near Ghose Street, Belagavi. Details recorded and investigation taken up."
36,800260081202500001,202500001,2025-05-31,945,81,3,2,6,27,1,51,2025-05-28T18:40:24.177008,2025-05-31T14:40:24.177008,2025-05-31T14:40:24.177008,11.926765,76.993021,"Charan Mitra reported an incident of Rioting that occurred near Parmar Chowk, Chamarajanagara. Details recorded and investigation taken up."
37,100010001202400001,202400001,2024-12-23,5,1,1,2,6,29,2,1,2024-12-21T05:40:24.177111,2024-12-23T14:40:24.177111,2024-12-23T14:40:24.177111,12.976632,77.556601,"Timothy Kala reported an incident of Public Nuisance that occurred near Narula Path, Bengaluru Urban. Details recorded and investigation taken up."
38,100040010202400002,202400002,2026-03-01,107,10,1,2,2,11,4,7,2026-02-27T21:40:24.177230,2026-03-01T14:40:24.177230,2026-03-01T14:40:24.177230,15.899712,74.524475,"Barkha Bakshi reported that a two-wheeler parked near Prasad Circle, Belagavi was found missing. No witnesses present at the time of the incident."
39,100030006202500002,202500002,2025-10-12,67,6,1,2,4,22,1,5,2025-10-11T01:40:24.177323,2025-10-12T14:40:24.177323,2025-10-12T14:40:24.177323,12.310226,76.710781,"Dominic Kade reported an incident of Social Media Impersonation that occurred near Samra Ganj, Mysuru. Details recorded and investigation taken up."
40,100010001202600001,202600001,2026-01-19,5,1,1,2,3,17,1,2,2026-01-18T04:40:24.177436,2026-01-19T14:40:24.177436,2026-01-19T14:40:24.177436,13.001907,77.584932,"Vedant Kuruvilla reported an incident of Sexual Harassment that occurred near Rama Marg, Bengaluru Urban. Details recorded and investigation taken up."
41,100040009202600001,202600001,2026-04-30,95,9,1,2,2,11,1,7,2026-04-29T10:40:24.177579,2026-04-30T14:40:24.177579,2026-04-30T14:40:24.177579,15.885727,74.544197,"Bimala Mitra reported that a two-wheeler parked near Chadha, Belagavi was found missing. No witnesses present at the time of the incident."
42,100210061202600001,202600001,2026-05-23,709,61,1,2,3,16,4,41,2026-05-23T02:40:24.177662,2026-05-23T14:40:24.177662,2026-05-23T14:40:24.177662,14.800397,75.419145,"Azaan Som reported repeated physical and mental harassment by family members at the residence in Walla Street, Haveri."
43,100120032202600001,202600001,2026-04-07,366,32,1,2,3,17,4,23,2026-04-04T18:40:24.177755,2026-04-07T14:40:24.177755,2026-04-07T14:40:24.177755,13.068878,76.100032,"Benjamin Ahluwalia reported an incident of Sexual Harassment that occurred near Ramesh, Hassan. Details recorded and investigation taken up."
44,100040009202600002,202600002,2026-06-25,101,9,1,2,2,13,1,8,2026-06-23T23:40:24.177852,2026-06-25T14:40:24.177852,2026-06-25T14:40:24.177852,15.784152,74.485628,"Zayyan Hari reported an incident of Cheating that occurred near Golla Zila, Belagavi. Details recorded and investigation taken up."
45,100160043202400001,202400001,2024-11-02,504,43,1,2,3,18,5,32,2024-10-31T11:40:24.177923,2024-11-02T14:40:24.177923,2024-11-02T14:40:24.177923,16.235083,77.413059,"Ekalinga Krishna reported an incident of Cruelty by Husband/Relatives that occurred near Hora Zila, Raichur. Details recorded and investigation taken up."
46,100040011202600003,202600003,2026-03-23,118,11,1,2,2,11,7,8,2026-03-20T15:40:24.178019,2026-03-23T14:40:24.178019,2026-03-23T14:40:24.178019,15.883873,74.511515,"Vedika Seshadri reported that a two-wheeler parked near Mohan Path, Belagavi was found missing. No witnesses present at the time of the incident."
47,100220065202500001,202500001,2025-07-08,760,65,1,2,2,11,1,43,2025-07-07T12:40:24.178116,2025-07-08T14:40:24.178116,2025-07-08T14:40:24.178116,15.44078,75.563236,"Garima Srinivasan reported that a two-wheeler parked near Sehgal Chowk, Gadag was found missing. No witnesses present at the time of the incident."
48,100040011202500001,202500001,2026-04-12,115,11,1,2,2,11,4,8,2026-04-09T20:40:24.178186,2026-04-12T14:40:24.178186,2026-04-12T14:40:24.178186,15.906827,74.548642,"Parth Bumb reported that a two-wheeler parked near Dey Road, Belagavi was found missing. No witnesses present at the time of the incident."
49,100180049202400001,202400001,2024-09-17,559,49,1,2,2,7,5,36,2024-09-17T13:40:24.178250,2024-09-17T14:40:24.178250,2024-09-17T14:40:24.178250,13.204395,78.168606,"Anirudh Tripathi reported that valuables including cash and jewellery were stolen from the premises at Ravel Nagar, Kolar while the house was unattended."
50,100290090202400001,202400001,2024-08-13,1044,90,1,2,3,16,6,57,2024-08-12T19:40:24.178366,2024-08-13T14:40:24.178366,2024-08-13T14:40:24.178366,16.816836,77.195288,"William Gandhi reported repeated physical and mental harassment by family members at the residence in Dey Circle, Yadgir."
51,100040009202500005,202500005,2025-04-08,94,9,1,2,4,21,7,7,2025-04-07T20:40:24.178476,2025-04-08T14:40:24.178476,2025-04-08T14:40:24.178476,15.828127,74.466642,"Vivaan Basak reported receiving repeated unwanted messages and threats via social media from an unknown profile, causing distress."
52,100300092202500001,202500001,2025-05-11,1070,92,1,2,2,11,1,60,2025-05-08T18:40:24.178611,2025-05-11T14:40:24.178611,2025-05-11T14:40:24.178611,15.181778,76.489481,"Harshil Verma reported that a two-wheeler parked near Lall Road, Vijayanagara was found missing. No witnesses present at the time of the incident."
53,100200058202500001,202500001,2025-05-06,681,58,1,2,3,16,1,40,2025-05-06T05:40:24.178686,2025-05-06T14:40:24.178686,2025-05-06T14:40:24.178686,14.392629,75.928652,"Faras Varughese reported repeated physical and mental harassment by family members at the residence in Puri Road, Davanagere."
54,100140038202600001,202600001,2026-06-22,434,38,1,1,2,8,5,28,2026-06-20T20:40:24.178810,2026-06-22T14:40:24.178810,2026-06-22T14:40:24.178810,13.256229,75.776835,"Siddharth Doctor was waylaid near Dugar Street, Chikkamagaluru by unidentified persons who threatened with a weapon and fled with cash and mobile phone."
55,100120032202600002,202600002,2026-06-14,362,32,1,2,3,17,1,23,2026-06-12T13:40:24.178891,2026-06-14T14:40:24.178891,2026-06-14T14:40:24.178891,12.994234,76.070762,"Varenya Srinivas reported an incident of Sexual Harassment that occurred near Edwin Ganj, Hassan. Details recorded and investigation taken up."
56,100270083202500001,202500001,2025-10-28,969,83,1,2,4,21,5,53,2025-10-28T08:40:24.179013,2025-10-28T14:40:24.179013,2025-10-28T14:40:24.179013,12.349775,75.808389,"Tarak Sen reported receiving repeated unwanted messages and threats via social media from an unknown profile, causing distress."
57,100190056202400001,202400001,2024-09-15,650,56,1,2,5,24,5,38,2024-09-13T13:40:24.179115,2024-09-15T14:40:24.179115,2024-09-15T14:40:24.179115,14.247428,76.37731,"Lekha Deo reported an incident of Possession that occurred near Babu Zila, Chitradurga. Details recorded and investigation taken up."
58,300040011202600001,202600001,2026-03-20,118,11,2,2,4,20,3,7,2026-03-20T05:40:24.179207,2026-03-20T14:40:24.179207,2026-03-20T14:40:24.179207,15.787049,74.444114,"Girik Subramaniam reported an incident of Identity Theft that occurred near Zacharia Street, Belagavi. Details recorded and investigation taken up."
59,100040010202600002,202600002,2026-03-11,106,10,1,2,2,11,2,7,2026-03-09T19:40:24.179363,2026-03-11T14:40:24.179363,2026-03-11T14:40:24.179363,15.863038,74.515905,"Viraj Chacko reported that a two-wheeler parked near Rege Road, Belagavi was found missing. No witnesses present at the time of the incident."
60,100200057202500001,202500001,2025-04-15,670,57,1,2,5,26,2,39,2025-04-14T00:40:24.179438,2025-04-15T14:40:24.179438,2025-04-15T14:40:24.179438,14.489995,75.930342,"Jacob Venkatesh reported an incident of Cultivation that occurred near Prashad Nagar, Davanagere. Details recorded and investigation taken up."
61,100250076202500001,202500001,2025-03-18,885,76,1,2,3,16,2,49,2025-03-17T19:40:24.179579,2025-03-18T14:40:24.179579,2025-03-18T14:40:24.179579,13.438049,77.754228,"Samar Sachdev reported repeated physical and mental harassment by family members at the residence in Subramanian Circle, Chikkaballapura."
62,400040011202600001,202600001,2026-04-30,117,11,4,2,2,11,1,8,2026-04-27T15:40:24.179721,2026-04-30T14:40:24.179721,2026-04-30T14:40:24.179721,15.881244,74.474611,"Hamsini Ben reported that a two-wheeler parked near Ramachandran Street, Belagavi was found missing. No witnesses present at the time of the incident."
63,100040009202500006,202500006,2025-10-31,98,9,1,2,2,13,2,8,2025-10-29T01:40:24.179946,2025-10-31T14:40:24.179946,2025-10-31T14:40:24.179946,15.807788,74.437362,"Nandini Verma reported an incident of Cheating that occurred near Bhandari Road, Belagavi. Details recorded and investigation taken up."
64,100110030202400001,202400001,2024-10-13,340,30,1,2,4,22,2,22,2024-10-11T13:40:24.180056,2024-10-13T14:40:24.180056,2024-10-13T14:40:24.180056,15.502793,74.981425,"Omkaar Banik reported an incident of Social Media Impersonation that occurred near Khare Path, Dharwad. Details recorded and investigation taken up."
65,100220065202500002,202500002,2025-03-15,750,65,1,2,2,13,2,43,2025-03-14T08:40:24.180151,2025-03-15T14:40:24.180151,2025-03-15T14:40:24.180151,15.448893,75.57488,"Ekapad Chana reported an incident of Cheating that occurred near Mane Circle, Gadag. Details recorded and investigation taken up."
66,100240074202500001,202500001,2025-06-06,862,74,1,2,4,20,2,48,2025-06-04T23:40:24.180252,2025-06-06T14:40:24.180252,2025-06-06T14:40:24.180252,16.17912,75.647914,"Niharika Toor reported an incident of Identity Theft that occurred near Bora Zila, Bagalkote. Details recorded and investigation taken up."
67,400240074202600001,202600001,2026-02-01,865,74,4,2,2,11,2,47,2026-01-31T11:40:24.180320,2026-02-01T14:40:24.180320,2026-02-01T14:40:24.180320,16.153099,75.713075,"Zashil Savant reported that a two-wheeler parked near Sule Marg, Bagalkote was found missing. No witnesses present at the time of the incident."
68,100250077202600001,202600001,2026-05-04,902,77,1,2,6,27,6,50,2026-05-02T14:40:24.180445,2026-05-04T14:40:24.180445,2026-05-04T14:40:24.180445,13.506475,77.739114,"Adya Kothari reported an incident of Rioting that occurred near Chander Road, Chikkaballapura. Details recorded and investigation taken up."
69,100010001202600002,202600002,2026-02-22,12,1,1,2,6,28,2,1,2026-02-20T05:40:24.180512,2026-02-22T14:40:24.180512,2026-02-22T14:40:24.180512,12.911427,77.617234,"Vamakshi Murthy reported an incident of Unlawful Assembly that occurred near Kamdar Path, Bengaluru Urban. Details recorded and investigation taken up."
70,100300092202500002,202500002,2025-12-27,1072,92,1,1,1,2,6,59,2025-12-26T16:40:24.180656,2025-12-27T14:40:24.180656,2025-12-27T14:40:24.180656,15.278,76.507633,"Nachiket Chhabra reported an incident of Attempt to Murder that occurred near Brar Zila, Vijayanagara. Details recorded and investigation taken up."
71,100300091202400001,202400001,2024-12-06,1057,91,1,2,1,5,1,60,2024-12-05T20:40:24.180752,2024-12-06T14:40:24.180752,2024-12-06T14:40:24.180752,15.260843,76.528089,"Yasti Mammen reported an incident of Assault that occurred near Kapadia Marg, Vijayanagara. Details recorded and investigation taken up."
72,800040011202500001,202500001,2025-11-10,112,11,3,2,4,21,1,8,2025-11-07T19:40:24.181008,2025-11-10T14:40:24.181008,2025-11-10T14:40:24.181008,15.870399,74.535249,"Owen Shankar reported receiving repeated unwanted messages and threats via social media from an unknown profile, causing distress."
73,100040010202500003,202500003,2026-03-08,104,10,1,2,2,11,1,7,2026-03-07T11:40:24.181112,2026-03-08T14:40:24.181112,2026-03-08T14:40:24.181112,15.785139,74.568621,"Shivansh Raghavan reported that a two-wheeler parked near Chaudhuri, Belagavi was found missing. No witnesses present at the time of the incident."
74,100040009202600003,202600003,2026-06-21,100,9,1,2,1,3,3,7,2026-06-19T13:40:24.181214,2026-06-21T14:40:24.181214,2026-06-21T14:40:24.181214,15.857318,74.450954,"Qarin Tara reported an incident of Grievous Hurt that occurred near Kade Marg, Belagavi. Details recorded and investigation taken up."
75,100040010202600003,202600003,2026-06-10,111,10,1,2,2,11,2,7,2026-06-09T05:40:24.181299,2026-06-10T14:40:24.181299,2026-06-10T14:40:24.181299,15.805625,74.488518,"Ati Seshadri reported that a two-wheeler parked near Deep Street, Belagavi was found missing. No witnesses present at the time of the incident."
76,800040011202500002,202500002,2025-01-27,113,11,3,2,2,13,2,8,2025-01-25T13:40:24.181389,2025-01-27T14:40:24.181389,2025-01-27T14:40:24.181389,15.849793,74.502486,"Madhav Doctor reported an incident of Cheating that occurred near Andra Chowk, Belagavi. Details recorded and investigation taken up."
77,100020003202600001,202600001,2026-03-06,35,3,1,2,3,14,3,4,2026-03-06T12:40:24.181516,2026-03-06T14:40:24.181516,2026-03-06T14:40:24.181516,13.282466,77.643554,Gopal Sengupta alleged continuous harassment for additional dowry by spouse and in-laws since marriage.
78,100010001202500001,202500001,2025-01-14,14,1,1,2,6,27,2,2,2025-01-14T13:40:24.181726,2025-01-14T14:40:24.181726,2025-01-14T14:40:24.181726,12.97375,77.617696,"Yashvi Sura reported an incident of Rioting that occurred near Brar Chowk, Bengaluru Urban. Details recorded and investigation taken up."
79,100140036202500001,202500001,2025-12-07,405,36,1,2,6,29,1,28,2025-12-05T20:40:24.181850,2025-12-07T14:40:24.181850,2025-12-07T14:40:24.181850,13.387215,75.70414,"Dipta Nadig reported an incident of Public Nuisance that occurred near Loke Road, Chikkamagaluru. Details recorded and investigation taken up."
80,800030005202400001,202400001,2024-11-12,59,5,3,2,6,27,3,5,2024-11-12T13:40:24.181959,2024-11-12T14:40:24.181959,2024-11-12T14:40:24.181959,12.34673,76.704851,"Wahab Krishnamurthy reported an incident of Rioting that occurred near Kade Zila, Mysuru. Details recorded and investigation taken up."
81,100150039202500002,202500002,2025-09-24,453,39,1,2,6,29,1,30,2025-09-23T22:40:24.182046,2025-09-24T14:40:24.182046,2025-09-24T14:40:24.182046,13.313353,74.812779,"Devansh Solanki reported an incident of Public Nuisance that occurred near Bhagat Circle, Udupi. Details recorded and investigation taken up."
82,100230066202500001,202500001,2025-07-31,770,66,1,2,4,21,4,46,2025-07-30T01:40:24.182131,2025-07-31T14:40:24.182131,2025-07-31T14:40:24.182131,15.284981,76.187485,"Frado Ramakrishnan reported receiving repeated unwanted messages and threats via social media from an unknown profile, causing distress."
83,400140037202400001,202400001,2024-08-02,429,37,4,2,6,29,1,28,2024-08-01T02:40:24.182316,2024-08-02T14:40:24.182316,2024-08-02T14:40:24.182316,13.368698,75.793666,"Peter Shan reported an incident of Public Nuisance that occurred near Saran, Chikkamagaluru. Details recorded and investigation taken up."
84,100040010202500004,202500004,2026-06-25,108,10,1,2,2,11,4,7,2026-06-23T11:40:24.182399,2026-06-25T14:40:24.182399,2026-06-25T14:40:24.182399,15.836054,74.526636,"Gaurav Sathe reported that a two-wheeler parked near Pau Road, Belagavi was found missing. No witnesses present at the time of the incident."
85,100030005202500002,202500002,2025-09-09,62,5,1,2,5,24,2,5,2025-09-06T19:40:24.182482,2025-09-09T14:40:24.182482,2025-09-09T14:40:24.182482,12.259524,76.573983,"Hemangini Mangat reported an incident of Possession that occurred near Warrior Chowk, Mysuru. Details recorded and investigation taken up."
86,100040010202600004,202600004,2026-03-02,106,10,1,2,5,25,1,7,2026-03-01T05:40:24.182621,2026-03-02T14:40:24.182621,2026-03-02T14:40:24.182621,15.835294,74.437629,"Aditya Sani reported an incident of Trafficking that occurred near Kashyap Road, Belagavi. Details recorded and investigation taken up."
87,100210061202500001,202500001,2025-07-19,714,61,1,2,3,18,1,41,2025-07-17T12:40:24.182762,2025-07-19T14:40:24.182762,2025-07-19T14:40:24.182762,14.850763,75.35694,"Pahal Khatri reported an incident of Cruelty by Husband/Relatives that occurred near Magar Circle, Haveri. Details recorded and investigation taken up."
88,100210062202500001,202500001,2025-04-29,721,62,1,2,6,27,1,41,2025-04-27T21:40:24.182864,2025-04-29T14:40:24.182864,2025-04-29T14:40:24.182864,14.858098,75.390925,"Sneha Magar reported an incident of Rioting that occurred near Swamy, Haveri. Details recorded and investigation taken up."
89,100040011202500002,202500002,2025-03-07,114,11,1,2,6,29,4,8,2025-03-07T13:40:24.182940,2025-03-07T14:40:24.182940,2025-03-07T14:40:24.182940,15.779632,74.453042,"Chandran Warrior reported an incident of Public Nuisance that occurred near Grewal Nagar, Belagavi. Details recorded and investigation taken up."
90,100040010202500005,202500005,2025-12-05,106,10,1,2,4,20,6,7,2025-12-02T23:40:24.183028,2025-12-05T14:40:24.183028,2025-12-05T14:40:24.183028,15.912462,74.554276,"Gautam Dora reported an incident of Identity Theft that occurred near Tak Nagar, Belagavi. Details recorded and investigation taken up."
91,800260079202500001,202500001,2025-12-20,926,79,3,2,6,28,1,52,2025-12-19T21:40:24.183154,2025-12-20T14:40:24.183154,2025-12-20T14:40:24.183154,11.930825,76.988817,"Pratyush Handa reported an incident of Unlawful Assembly that occurred near Raj Road, Chamarajanagara. Details recorded and investigation taken up."
92,100180050202500001,202500001,2025-09-18,578,50,1,2,1,4,1,35,2025-09-17T02:40:24.183247,2025-09-18T14:40:24.183247,2025-09-18T14:40:24.183247,13.169745,78.084663,"Saanvi Kota reported an incident of Kidnapping that occurred near Issac Nagar, Kolar. Details recorded and investigation taken up."
93,100040009202600004,202600004,2026-04-13,97,9,1,2,2,11,4,7,2026-04-13T08:40:24.183362,2026-04-13T14:40:24.183362,2026-04-13T14:40:24.183362,15.823731,74.432483,"Jason Kulkarni reported that a two-wheeler parked near Misra Chowk, Belagavi was found missing. No witnesses present at the time of the incident."
